,_id,page_url,title,domain_tags,primary_domain,score
6,5f1bb233896f82cdbda61076,/entries/emotion/,Emotion,"Philosophy of Mind,Philosophy of Biology,Philosophy of Action",Philosophy of Mind,3.522470384060555
9,5f1bb4eb896f82cdbda61229,/entries/levels-org-biology/,Levels of Organization in Biology,Philosophy of Biology,Philosophy of Biology,2.7732693276966796
17,5f1bb58b896f82cdbda61297,/entries/mary-shepherd/,Mary Shepherd,"Thinker, Epistemology, Metaphysics",Thinker,2.3632150742673623
18,5f1bb48b896f82cdbda611e2,/entries/kant-leibniz/,Leibniz’s Influence on Kant,Thinker,Thinker,2.3725843832621907
28,5f1bb485896f82cdbda611dd,/entries/kant-aesthetics/,Kant’s Aesthetics and Teleology,"Thinker,Aesthetics and Philosophy of Art",Aesthetics and Philosophy of Art,2.257673277386057
29,5f1bb8ff896f82cdbda6149d,/entries/sortals/,Sortals,Metaphysics,Metaphysics,2.5053951606303815
34,5f1bb265896f82cdbda61091,/entries/epistemology-visual-thinking/,The Epistemology of Visual Thinking in Mathematics,"Epistemology,Philosophy of Mathematics",Epistemology,2.4788747992649895
36,5f1bb223896f82cdbda61071,/entries/embodied-cognition/,Embodied Cognition,"Philosophy of Mind, Philosophy of Biology",Philosophy of Mind,4.172242632170712
40,5f1bb919896f82cdbda614ae,/entries/spinoza-physics/,Spinoza’s Physical Theory,"Thinker,Metaphysics",Philosophy of Physics,2.5069758705146032
41,5f1bb5ff896f82cdbda612ea,/entries/moral-non-naturalism/,Moral Non-Naturalism,"Ethics,Metaphysics",Ethics,2.9698217275728207
43,5f1bb640896f82cdbda6130e,/entries/neo-kantianism/,Neo-Kantianism,Metaphysics,Metaphysics,2.521347154624678
44,5f1bb0e2896f82cdbda60fc6,/entries/computational-complexity/,Computational Complexity Theory,"Philosophy of Computer Science,Philosophy of Physics",Philosophy of Computer Science,2.633065761521455
46,5f1bb9be896f82cdbda61515,/entries/vaihinger/,Hans Vaihinger,"Thinker, Epistemology, Philosophy of Science, Philosophy of Mathematics",Thinker,2.509403411633308
49,5f1bb06d896f82cdbda60f86,/entries/category-theory/,Category Theory,Philosophy of Mathematics,Philosophy of Mathematics,2.1926871952583022
51,5f1bb546896f82cdbda61263,/entries/logic-normative/,The Normative Status of Logic,Logic,Logic,2.2470002410136347
53,5f1bc2f7c9d4344a5ae10126,/entries/descartes-method/,Descartes’ Method,Thinker,Thinker,2.516803248954056
56,5f1bb31e896f82cdbda61101,/entries/formal-epistemology/,Formal Epistemology,Epistemology,Epistemology,2.223118420333673
61,5f1bb4c6896f82cdbda6120e,/entries/lawphil-naturalism/,Naturalism in Legal Philosophy,Philosophy of Law,Philosophy of Law,2.512141790221898
77,5f1bb508896f82cdbda6123f,/entries/logic-action/,The Logic of Action,"Philosophy of Mind,Metaphysics,Philosophy of Action",Philosophy of Action,2.732646366485699
81,5f1bb19e896f82cdbda61026,/entries/democracy/,Democracy,Social and Political Philosophy,Social and Political Philosophy,2.251046088367352
94,5f1bb8ee896f82cdbda61493,/entries/social-ontology/,Social Ontology,Social and Political Philosophy,Social and Political Philosophy,2.4738700023072355
100,5f1bb277896f82cdbda6109b,/entries/ernst-mach/,Ernst Mach,"Thinker, Philosophy of Science, Philosophy of Biology, Philosophy of Physics",Thinker,3.0097151052497098
109,5f1bb48f896f82cdbda611e5,/entries/kant-mind/,Kant’s View of the Mind and Consciousness of Self,"Thinker,Philosophy of Mind",Philosophy of Mind,3.0209477608163056
114,5f1bb2f6896f82cdbda610e9,/entries/feminist-science/,Feminist Perspectives on Science,"Feminist Philosophy,Philosophy of Science",Feminist Philosophy,3.068940035964891
117,5f1bb956896f82cdbda614d5,/entries/teleology-biology/,Teleological Notions in Biology,Philosophy of Biology,Philosophy of Biology,2.2389181058818783
132,5f1bb753896f82cdbda613a6,/entries/pragmatism/,Pragmatism,"Philosophy of Language,Social and Political Philosophy, Logic, Epistemology",Epistemology,2.488426954770793
134,5f1bb418896f82cdbda61190,/entries/immunology/,Philosophy of Immunology,Philosophy of Biology,Philosophy of Biology,3.7931962850017036
145,5f1bb1d0896f82cdbda61043,/entries/diderot/,Denis Diderot,"Thinker, Aesthetics and Philosophy of Art, Philosophy of Language",Thinker,2.7577675989200756
148,5f1bb7ce896f82cdbda613e8,/entries/qt-quantcomp/,Quantum Computing,"Philosophy of Physics,Philosophy of Computer Science",Philosophy of Physics,2.5069001842682215
153,5f1bb626896f82cdbda612ff,/entries/natural-kinds/,Natural Kinds,Metaphysics,Metaphysics,2.7755341391765502
165,5f1bb787896f82cdbda613c0,/entries/properties-emergent/,Emergent Properties,"Metaphysics, Philosophy of Science",Metaphysics,2.961788224534382
180,5f1bb4cb896f82cdbda61212,/entries/learning-formal/,Formal Learning Theory,"Philosophy of Mathematics,Epistemology",Philosophy of Mathematics,3.6393561902810956
181,5f1bb45c896f82cdbda611be,/entries/james/,William James,"Thinker, Philosophy of Mind, Philosophy of Religion",Thinker,2.2554907723325064
186,5f1bb459896f82cdbda611bc,/entries/james-viterbo/,James of Viterbo,Thinker,Thinker,2.4389604967398117
187,5f1bb5b0896f82cdbda612b4,/entries/memory/,Memory,"Philosophy of Mind,Philosophy of Biology",Philosophy of Mind,2.4433849139380817
191,5f1bb2b8896f82cdbda610c0,/entries/faith/,Faith,Philosophy of Religion,Philosophy of Religion,2.474410834430895
195,5f1bb735896f82cdbda61394,/entries/poincare/,Henri Poincaré,"Thinker,Philosophy of Mathematics,Philosophy of Physics",Thinker,2.712691345413632
199,5f1bb43c896f82cdbda611a7,/entries/innateness-cognition/,Innateness and Contemporary Theories of Cognition,Philosophy of Mind,Philosophy of Mind,3.7068896011175227
204,5f1bc354c9d4344a5ae10179,/entries/science-big-data/,Scientific Research and Big Data,"Philosophy of Science,Philosophy of Computer Science",Philosophy of Science,3.007205388081123
206,5f1bb986896f82cdbda614f3,/entries/transcendentals-medieval/,Medieval Theories of Transcendentals,Metaphysics,Metaphysics,2.9166413568924243
210,5f1bb894896f82cdbda6145c,/entries/scientific-progress/,Scientific Progress,Philosophy of Science,Philosophy of Science,3.102907387171114
213,5f1bb091896f82cdbda60f99,/entries/children/,Philosophy for Children,Social and Political Philosophy,Social and Political Philosophy,2.256642081884088
217,5f1bb575896f82cdbda61285,/entries/maimon/,Salomon Maimon,"Thinker,Judaic Philosophy,Epistemology",Thinker,2.5110136287829397
221,5f1bb898896f82cdbda6145e,/entries/scientific-reduction/,Scientific Reduction,Philosophy of Science,Philosophy of Science,2.6433197226335756
237,5f1bb71d896f82cdbda61384,/entries/plato-metaphysics/,Plato’s Middle Period Metaphysics and Epistemology,"Thinker, Metaphysics, Epistemology",Metaphysics,2.8208822385115444
246,5f1bb1a2896f82cdbda61028,/entries/demonstration-medieval/,Medieval Theories of Demonstration,Logic,Logic,2.970142967976729
247,5f1bb3f6896f82cdbda6117c,/entries/ibn-kammuna/,Ibn Kammuna,"Thinker,Judaic Philosophy,Philosophy of Religion",Thinker,2.4748890542988455
248,5f1bb896896f82cdbda6145d,/entries/scientific-realism/,Scientific Realism,Philosophy of Science,Philosophy of Science,2.422185741088066
251,5f1bb29e896f82cdbda610b3,/entries/evidence/,Evidence,"Epistemology,Philosophy of Science",Epistemology,2.380173345038041
254,5f1baf70896f82cdbda60efb,/entries/analytic-synthetic/,The Analytic/Synthetic Distinction,"Logic, Philosophy of Language, Metaphysics",Logic,2.380703085370551
268,5f1bb422896f82cdbda61195,/entries/implicit-bias/,Implicit Bias,"Philosophy of Mind,Social and Political Philosophy,African and African-American Philosophy",Philosophy of Mind,2.510074739046921
281,5f1bb5d6896f82cdbda612d1,/entries/modularity-mind/,Modularity of Mind,"Philosophy of Mind, Philosophy of Biology",Philosophy of Mind,3.277406357413086
282,5f1bb953896f82cdbda614d3,/entries/technology/,Philosophy of Technology,"Philosophy of Science, Social and Political Philosophy,Philosophy of Action",Philosophy of Science,2.7764106849297363
289,5f1bb158896f82cdbda61005,/entries/counterfactuals/,Counterfactuals,"Logic,Metaphysics",Logic,2.4930413015823603
303,5f1bb4ca896f82cdbda61211,/entries/laws-of-nature/,Laws of Nature,Philosophy of Science,Philosophy of Science,2.462453409976606
312,5f1bb203896f82cdbda6105f,/entries/duhem/,Pierre Duhem,"Thinker,Philosophy of Science",Thinker,2.099581416155419
314,5f1bb6ec896f82cdbda6136a,/entries/phil-science-latin-america/,Philosophy of Science in Latin America,"Latin American and Iberian Philosophy, Philosophy of Science",Latin American and Iberian Philosophy,3.097915166687941
315,5f1bb81b896f82cdbda61413,/entries/reichenbach/,Hans Reichenbach,"Thinker, Philosophy of Science, Epistemology",Thinker,2.389168000887482
318,5f1bb48c896f82cdbda611e3,/entries/kant-mathematics/,Kant’s Philosophy of Mathematics,"Thinker,Philosophy of Mathematics",Philosophy of Mathematics,2.513381710280373
320,5f1bb2b1896f82cdbda610bd,/entries/experimental-philosophy/,Experimental Philosophy,"Epistemology,Philosophy of Science, Philosophy of Action",Epistemology,2.7294725529100528
323,5f1bb7b7896f82cdbda613da,/entries/qm-copenhagen/,Copenhagen Interpretation of Quantum Mechanics,Philosophy of Physics,Philosophy of Physics,2.426093471448788
331,5f1bb436896f82cdbda611a2,/entries/information/,Information,"Epistemology, Philosophy of Computer Science",Epistemology,2.7250156506880243
350,5f1bb038896f82cdbda60f6d,/entries/broad/,Charlie Dunbar Broad,"Thinker, Philosophy of Science",Thinker,2.362706773601675
363,5f1baf9a896f82cdbda60f16,/entries/architecture/,Philosophy of Architecture,Aesthetics and Philosophy of Art,Aesthetics and Philosophy of Art,2.3797512630023707
364,5f1bb48a896f82cdbda611e1,/entries/kant-judgment/,Kant’s Theory of Judgment,"Thinker, Philosophy of Mind, Logic, Epistemology",Philosophy of Mind,2.9561450238040097
379,5f1bb010896f82cdbda60f56,/entries/biology-experiment/,Experiment in Biology,Philosophy of Biology,Philosophy of Biology,2.4962774971474246
391,5f1bb0ea896f82cdbda60fca,/entries/computer-science/,The Philosophy of Computer Science,Philosophy of Computer Science,Philosophy of Computer Science,2.968309704272083
394,5f1baf2f896f82cdbda60ed4,/entries/aesthetics-18th-german/,18th Century German Aesthetics,Aesthetics and Philosophy of Art,Aesthetics and Philosophy of Art,3.3894209337234145
395,5f1bb314896f82cdbda610fb,/entries/fleck/,Ludwik Fleck,"Thinker,Philosophy of Science,Philosophy of Mind",Thinker,3.018528282678357
414,5f1baf46896f82cdbda60ee2,/entries/al-farabi-psych/,al-Farabi’s Psychology and Epistemology,"Thinker,Arabic and Islamic Philosophy,Epistemology",Epistemology,2.4904227309082527
419,5f1bb0c0896f82cdbda60fb5,/entries/cognitive-science/,Cognitive Science,"Philosophy of Mind,Philosophy of Biology",Philosophy of Mind,4.133182983789263
421,5f1bb014896f82cdbda60f58,/entries/biology-philosophy/,Philosophy of Biology,Philosophy of Biology,Philosophy of Biology,2.519739693159717
423,5f1bb0c1896f82cdbda60fb6,/entries/cohen/,Hermann Cohen,"Thinker, Judaic Philosophy,Epistemology,Philosophy of Religion",Thinker,2.7065284383454054
440,5f1bb5d2896f82cdbda612ce,/entries/models-science/,Models in Science,Philosophy of Science,Philosophy of Science,2.748063059346359
442,5f1bb068896f82cdbda60f83,/entries/cassirer/,Ernst Cassirer,"Thinker,Philosophy of Mathematics,Philosophy of Science,Social and Political Philosophy",Thinker,2.4764994678474714
453,5f1bb1cd896f82cdbda61040,/entries/diagrams/,Diagrams,Logic,Logic,2.5078673816425194
