,_id,page_url,title,domain_tags,primary_domain,score
1506,5f1bb5bd896f82cdbda612bd,/entries/merleau-ponty/,Maurice Merleau-Ponty,"Thinker,Continental Philosophy",Thinker,9.15169332
1108,5f1bb2ad896f82cdbda610bb,/entries/existentialism/,Existentialism,Continental Philosophy,Continental Philosophy,8.967526875
711,5f1bb3a6896f82cdbda61152,/entries/heidegger-aesthetics/,Heidegger’s Aesthetics,"Thinker,Aesthetics and Philosophy of Art,Continental Philosophy",Thinker,8.922849272
1370,5f1bb2c5896f82cdbda610c9,/entries/femapproach-continental/,Continental Feminism,"Feminist Philosophy,Continental Philosophy",Feminist Philosophy,8.46129151
509,5f1bb6e9896f82cdbda61368,/entries/phenomenology/,Phenomenology,"Epistemology,Continental Philosophy",Continental Philosophy,8.300345793
864,5f1bb74a896f82cdbda613a0,/entries/postmodernism/,Postmodernism,"Social and Political Philosophy,Continental Philosophy",Continental Philosophy,8.079082052
193,5f1bb4ec896f82cdbda6122a,/entries/levinas/,Emmanuel Levinas,"Thinker,Continental Philosophy",Thinker,7.959606424
383,5f1bb3a7896f82cdbda61153,/entries/heidegger/,Martin Heidegger,"Thinker,Continental Philosophy",Thinker,7.898604843
1160,5f1bb3c9896f82cdbda61162,/entries/history/,Philosophy of History,"Social and Political Philosophy,Continental Philosophy",Social and Political Philosophy,7.713499303
817,5f1bb847896f82cdbda6142c,/entries/ricoeur/,Paul Ricoeur,"Thinker,Continental Philosophy",Thinker,7.398196886
1079,5f1bb570896f82cdbda61280,/entries/lyotard/,Jean François Lyotard,"Thinker,Social and Political Philosophy,Continental Philosophy",Thinker,7.232831444
349,5f1bb2c6896f82cdbda610ca,/entries/femapproach-prag-cont/,Intersections Between Pragmatist and Continental Feminism,"Feminist Philosophy,Continental Philosophy",Feminist Philosophy,7.007915154
1361,5f1bb86e896f82cdbda61444,/entries/sartre/,Jean-Paul Sartre,"Thinker,Continental Philosophy",Thinker,7.004006441
332,5f1bb344896f82cdbda61119,/entries/gadamer-aesthetics/,Gadamer’s Aesthetics,"Thinker,Aesthetics and Philosophy of Art,Continental Philosophy",Thinker,6.91127283
694,5f1bb3a4896f82cdbda61151,/entries/hegel/,Georg Wilhelm Friedrich Hegel,"Thinker,Continental Philosophy",Thinker,6.901164154
486,5f1bb05e896f82cdbda60f7d,/entries/camus/,Albert Camus,"Thinker,Continental Philosophy,Continental Philosophy",Thinker,6.851460129
911,5f1bb356896f82cdbda61123,/entries/gasset/,José Ortega y Gasset,"Thinker,Social and Political Philosophy,Continental Philosophy",Thinker,6.740161023
579,5f1bb163896f82cdbda6100b,/entries/critical-theory/,Critical Theory,"Social and Political Philosophy,Continental Philosophy",Continental Philosophy,6.696237639
314,5f1baf32896f82cdbda60ed6,/entries/aesthetics-existentialist/,Existentialist Aesthetics,"Continental Philosophy,Aesthetics and Philosophy of Art",Continental Philosophy,6.624069421
1009,5f1bb28d896f82cdbda610a9,/entries/ethics-it-phenomenology/,Phenomenological Approaches to Ethics and Information Technology,"Epistemology,Ethics,Continental Philosophy",Continental Philosophy,6.607641064
417,5f1baffe896f82cdbda60f4d,/entries/benjamin/,Walter Benjamin,"Thinker,Continental Philosophy",Thinker,6.60711063
356,5f1bb464896f82cdbda611c4,/entries/jaspers/,Karl Jaspers,"Thinker,Continental Philosophy,Continental Philosophy",Thinker,6.537649124
1628,5f1bb322896f82cdbda61103,/entries/foucault/,Michel Foucault,"Thinker,Social and Political Philosophy,Continental Philosophy",Thinker,6.365434849
755,5f1bafea896f82cdbda60f42,/entries/baudrillard/,Jean Baudrillard,"Thinker,Social and Political Philosophy,Continental Philosophy",Thinker,6.281372437
1605,5f1bb92d896f82cdbda614ba,/entries/stein/,Edith Stein,"Thinker,Continental Philosophy",Thinker,6.095561361
333,5f1baff4896f82cdbda60f48,/entries/beauvoir/,Simone de Beauvoir,"Thinker,Continental Philosophy,Feminist Philosophy",Thinker,6.093209946
1170,5f1bb045896f82cdbda60f70,/entries/buber/,Martin Buber,"Thinker,Philosophy of Religion,Ethics,Continental Philosophy",Thinker,5.950226942
113,5f1bb448896f82cdbda611b0,/entries/intentionality/,Intentionality,"Philosophy of Mind,Continental Philosophy",Philosophy of Mind,5.777459822
1502,5f1bb5c6896f82cdbda612c4,/entries/michel-henry/,Michel Henry,"Thinker,Continental Philosophy",Thinker,5.746706029
1224,5f1bb4a1896f82cdbda611f2,/entries/kierkegaard/,Søren Kierkegaard,"Thinker,Continental Philosophy",Thinker,5.744918033
61,5f1bb346896f82cdbda6111a,/entries/gadamer/,Hans-Georg Gadamer,"Thinker,Continental Philosophy",Thinker,5.719772841
467,5f1bafdc896f82cdbda60f3a,/entries/authenticity/,Authenticity,Continental Philosophy,Continental Philosophy,5.496016757
559,5f1bb112896f82cdbda60fdf,/entries/consciousness-intentionality/,Consciousness and Intentionality,"Philosophy of Mind,Continental Philosophy",Philosophy of Mind,5.448685968
124,5f1bb56b896f82cdbda6127c,/entries/lukacs/,Georg [György] Lukács,"Thinker,Continental Philosophy",Thinker,5.390717381
169,5f1bb3bd896f82cdbda6115e,/entries/hermeneutics/,Hermeneutics,"Epistemology,Continental Philosophy",Continental Philosophy,5.173112365
552,5f1bb6e5896f82cdbda61366,/entries/phenomenology-mg/,The Phenomenology of the Munich and Göttingen Circles,"Epistemology,Continental Philosophy",Continental Philosophy,5.165354617
1642,5f1bb57e896f82cdbda6128c,/entries/marcel/,Gabriel (-Honoré) Marcel,"Thinker,Continental Philosophy",Thinker,5.027576282
347,5f1baf26896f82cdbda60ece,/entries/adorno/,Theodor W. Adorno,"Thinker,Continental Philosophy",Thinker,4.880621848
804,5f1bb0c3896f82cdbda60fb7,/entries/collective-intentionality/,Collective Intentionality,"Philosophy of Mind,Continental Philosophy",Philosophy of Mind,4.801874465
72,5f1bb8cf896f82cdbda61480,/entries/simone-weil/,Simone Weil,"Thinker,Continental Philosophy",Thinker,4.755901392
995,5f1baf5e896f82cdbda60ef2,/entries/althusser/,Louis Althusser,"Thinker,Social and Political Philosophy,Continental Philosophy",Thinker,4.723990691
1135,5f1bb6e4896f82cdbda61365,/entries/phenomenal-intentionality/,Phenomenal Intentionality,"Epistemology,Continental Philosophy",Continental Philosophy,4.723436218
71,5f1bb856896f82cdbda61435,/entries/rorty/,Richard Rorty,"Thinker,Continental Philosophy",Thinker,4.670666999
946,5f1bb653896f82cdbda6131c,/entries/nietzsche/,Friedrich Nietzsche,"Thinker,Continental Philosophy",Thinker,4.648003614
1612,5f1baf9e896f82cdbda60f18,/entries/arendt/,Hannah Arendt,"Thinker,Social and Political Philosophy,Continental Philosophy",Thinker,4.60239318
1647,5f1bb036896f82cdbda60f6c,/entries/brentano/,Franz Brentano,"Thinker,Philosophy of Mind,Continental Philosophy",Thinker,4.447301493
1604,5f1bb38c896f82cdbda61143,/entries/habermas/,Jürgen Habermas,"Thinker,Social and Political Philosophy,Continental Philosophy",Thinker,4.436920473
1095,5f1bb643896f82cdbda61310,/entries/neurath/,Otto Neurath,"Thinker,Continental Philosophy",Thinker,4.430084686
1149,5f1bb3ed896f82cdbda61176,/entries/husserl/,Edmund Husserl,"Thinker,Continental Philosophy",Thinker,4.422021528
769,5f1bb651896f82cdbda6131b,/entries/nietzsche-moral-political/,Nietzsche’s Moral and Political Philosophy,"Thinker,Social and Political Philosophy,Continental Philosophy",Thinker,4.407679957
652,5f1bb2fc896f82cdbda610ec,/entries/feyerabend/,Paul Feyerabend,"Thinker,Continental Philosophy",Thinker,4.096168889
397,5f1bb4ae896f82cdbda611fe,/entries/lacan/,Jacques Lacan,"Thinker,Continental Philosophy",Thinker,4.004658405
795,5f1bb44d896f82cdbda611b3,/entries/introspection/,Introspection,Philosophy of Mind,Philosophy of Mind,4.001153693
796,5f1bb580896f82cdbda6128e,/entries/marcuse/,Herbert Marcuse,"Thinker,Continental Philosophy",Thinker,3.758113053
