,_id,title,domain_tags,primary_domain
0,5f1baf32896f82cdbda60ed6,Existentialist Aesthetics,"Continental Philosophy,Aesthetics and Philosophy of Art",Continental Philosophy
1,5f1bafdc896f82cdbda60f3a,Authenticity,Continental Philosophy,Continental Philosophy
2,5f1baff4896f82cdbda60f48,Simone de Beauvoir,"Thinker,Continental Philosophy,Feminist Philosophy",Thinker
3,5f1bb05e896f82cdbda60f7d,Albert Camus,"Thinker,Continental Philosophy",Thinker
4,5f1bb2ad896f82cdbda610bb,Existentialism,Continental Philosophy,Continental Philosophy
5,5f1bb3a7896f82cdbda61153,Martin Heidegger,"Thinker,Continental Philosophy",Thinker
6,5f1bb3ed896f82cdbda61176,Edmund Husserl,"Thinker,Continental Philosophy",Thinker
7,5f1bb464896f82cdbda611c4,Karl Jaspers,"Thinker,Continental Philosophy",Thinker
8,5f1bb4ec896f82cdbda6122a,Emmanuel Levinas,"Thinker,Continental Philosophy",Thinker
9,5f1bb5bd896f82cdbda612bd,Maurice Merleau-Ponty,"Thinker,Continental Philosophy",Thinker
10,5f1bb821896f82cdbda61417,Adolf Reinach,"Thinker,Continental Philosophy",Thinker
11,5f1bb86e896f82cdbda61444,Jean-Paul Sartre,"Thinker,Continental Philosophy",Thinker
12,5f1bb886896f82cdbda61454,Alfred Schutz,"Thinker,Continental Philosophy",Thinker
