,_id,page_url,copyright,
0,5f1baf09896f82cdbda60ebf,/entries/18thGerman-preKant/,Brigitte Sassen ,2
1,5f1baf0a896f82cdbda60ec0,/entries/abduction/,Igor Douven ,2
2,5f1baf0c896f82cdbda60ec1,/entries/abelard/,Peter King and Andrew Arlig ,5
3,5f1baf0e896f82cdbda60ec2,/entries/abhidharma/,Noa Ronkin ,2
4,5f1baf10896f82cdbda60ec3,/entries/abilities/,John Maier ,2
5,5f1baf11896f82cdbda60ec4,/entries/abner-burgos/,Shalom Sadik ,2
6,5f1baf12896f82cdbda60ec5,/entries/abrabanel/,Aaron Hughes ,2
7,5f1baf13896f82cdbda60ec6,/entries/abraham-daud/,Resianne Fontaine and Amira Eran ,5
8,5f1baf16896f82cdbda60ec7,/entries/abstract-objects/,Gideon Rosen,2
9,5f1baf18896f82cdbda60ec8,/entries/action-perception/,Robert Briscoe and Rick Grush ,5
10,5f1baf1b896f82cdbda60ec9,/entries/action/,George Wilson and Samuel Shpall,5
11,5f1baf1d896f82cdbda60eca,/entries/actualism-possibilism-ethics/,Travis Timmerman and Yishai Cohen ,5
12,5f1baf1f896f82cdbda60ecb,/entries/actualism/,Christopher Menzel ,2
13,5f1baf22896f82cdbda60ecc,/entries/adaptationism/,Steven Hecht Orzack and Patrick Forber,6
14,5f1baf24896f82cdbda60ecd,/entries/addams-jane/,Maurice Hamington ,2
15,5f1baf26896f82cdbda60ece,/entries/adorno/,Lambert Zuidervaart ,2
16,5f1baf27896f82cdbda60ecf,/entries/advance-directives/,Agnieszka Jaworska ,2
17,5f1baf28896f82cdbda60ed0,/entries/aesthetic-concept/,James Shelley ,2
18,5f1baf2a896f82cdbda60ed1,/entries/aesthetic-judgment/,Nick Zangwill ,2
19,5f1baf2c896f82cdbda60ed2,/entries/aesthetics-18th-british/,James Shelley ,2
20,5f1baf2d896f82cdbda60ed3,/entries/aesthetics-18th-french/,Jennifer Tsien and Jacques Morizot,5
