,_id,page_url,copyright
0,615285119050fcc8b5bd9a10,/entries/abu-bakr-al-razi/,Peter Adamson 
1,615285219050fcc8b5bd9a1d,/entries/cudworth/,Sarah Hutton 
2,6152852d9050fcc8b5bd9a2c,/entries/fuller-margaret/,Daniel Howe 
3,615285339050fcc8b5bd9a33,/entries/hegel-social-political/,Thom Brooks 
4,615285349050fcc8b5bd9a35,/entries/hutcheson/,Dale Dorsey 
5,615285399050fcc8b5bd9a3b,/entries/infinity/,"Graham Oppy, Alan Hajek, Kenny Easwaran, and  Paolo Mancosu "
6,6152853f9050fcc8b5bd9a42,/entries/legal-probabilism/,Rafal Urbaniak and  Marcello Di Bello 
7,615285499050fcc8b5bd9a4f,/entries/neoliberalism/,Kevin Vallier 
8,615285629050fcc8b5bd9a71,/entries/sin-christian/,Kevin Timpe 
9,6152856e9050fcc8b5bd9a7c,/entries/understanding/,Stephen Grimm 
10,615285e69050fcc8b5bd9a9b,/entries/africana-contemporary/,Paul C. Taylor 
11,615285e89050fcc8b5bd9a9e,/entries/argument/,Catarina Dutilh Novaes 
12,615285ee9050fcc8b5bd9aa7,/entries/causation-regularity/,Holger Andreas and Mario Guenther 
13,615285f29050fcc8b5bd9aac,/entries/critical-phil-race/,Linda Alcoff 
14,615286049050fcc8b5bd9ac3,/entries/hist-westphilmusic-since-1800/,Matteo Ravasio 
15,615286059050fcc8b5bd9ac5,/entries/hist-westphilmusic-to-1800/,Matteo Ravasio 
16,615286069050fcc8b5bd9ac7,/entries/ibn-rushd/,Fouad Ben Ahmed  and Robert Pasnau 
17,615286109050fcc8b5bd9ad5,/entries/legal-interpretation/,Mark Greenberg 
18,615286209050fcc8b5bd9ae7,/entries/moral-phenomenology/,John Drummond  and Mark Timmons 
19,6152862c9050fcc8b5bd9af4,/entries/public-goods/,Julian Reiss 
20,615286379050fcc8b5bd9b01,/entries/self-defense/,Helen Frowe and Jonathan Parry 
21,615286399050fcc8b5bd9b04,/entries/spacetime-theories-classical/,"Carl Hoefer, Nick Huggett, and James Read "
