,_id,page_url,title,domain_tags,primary_domain,score
74,5f1bb455896f82cdbda611b8,/entries/israeli/,Isaac Israeli,"Thinker,Jewish Philosophy",Thinker,3.8414729127839724
93,5f1baf44896f82cdbda60ee1,/entries/al-farabi-logic/,al-Farabi’s Philosophy of Logic and Language,"Thinker,Arabic and Islamic Philosophy,Logic",Thinker,3.4965541818783006
127,5f1bb5a9896f82cdbda612ae,/entries/medieval-political/,Medieval Political Philosophy,Social and Political Philosophy,Social and Political Philosophy,3.740735814504613
187,5f1baf8c896f82cdbda60f0d,/entries/arabic-islamic-greek/,Greek Sources in Arabic and Islamic Philosophy,Arabic and Islamic Philosophy,Arabic and Islamic Philosophy,5.379915424421721
190,5f7678c0038c9c30f78468e9,/entries/albalag/,Isaac Albalag,"Thinker,Jewish Philosophy",Thinker,3.8141593257367274
198,5f1baf97896f82cdbda60f14,/entries/arabic-islamic-natural/,Arabic and Islamic Natural Philosophy and Natural Science,"Arabic and Islamic Philosophy,Philosophy of Science",Arabic and Islamic Philosophy,5.668913981193777
274,5f1bb447896f82cdbda611af,/entries/intentionality-ancient/,Intentionality in Ancient Philosophy,Philosophy of Mind,Philosophy of Mind,3.2732403407106547
345,5f1baf46896f82cdbda60ee2,/entries/al-farabi-psych/,al-Farabi’s Psychology and Epistemology,"Thinker,Arabic and Islamic Philosophy,Epistemology",Thinker,4.986221878871494
365,5f1bb3f3896f82cdbda6117a,/entries/ibn-ezra/,Abraham Ibn Ezra,"Thinker,Jewish Philosophy",Thinker,3.9638076858550875
370,5f1baf93896f82cdbda60f11,/entries/arabic-islamic-metaphysics/,Arabic and Islamic Metaphysics,"Arabic and Islamic Philosophy,Metaphysics",Arabic and Islamic Philosophy,5.8365805473679
474,5f1bb4fe896f82cdbda61237,/entries/llull/,Ramon Llull,Thinker,Thinker,3.4887804312497748
512,5f1baf54896f82cdbda60eec,/entries/alexander-aphrodisias/,Alexander of Aphrodisias,Thinker,Thinker,3.3356996944159647
514,5f1bb577896f82cdbda61286,/entries/maimonides-islamic/,The Influence of Islamic Thought on Maimonides,"Thinker,Arabic and Islamic Philosophy, Jewish Philosophy",Arabic and Islamic Philosophy,5.5509549966460145
528,5f1bb3f6896f82cdbda6117c,/entries/ibn-kammuna/,Ibn Kammuna,"Thinker,Jewish Philosophy,Philosophy of Religion",Thinker,4.011725276634211
546,5f1bb325896f82cdbda61105,/entries/francis-bacon/,Francis Bacon,Thinker,Thinker,3.1493550724635395
614,5f1bb3f8896f82cdbda6117d,/entries/ibn-rushd-natural/,Ibn Rushd’s Natural Philosophy,"Thinker,Arabic and Islamic Philosophy",Thinker,3.831879760127846
615,5f1bb834896f82cdbda61420,/entries/religion-science/,Religion and Science,"Philosophy of Religion,Philosophy of Science",Philosophy of Religion,4.017585046085328
