,_id,page_url,title,domain_tags,primary_domain,score
1385,5f1baf12896f82cdbda60ec5,/entries/abrabanel/,Judah Abrabanel,"Thinker,Jewish Philosophy",Thinker,3.138601577
505,5f1bafb6896f82cdbda60f27,/entries/aristotle/,Aristotle,"Thinker,Logic,Metaphysics,Ethics,Social and Political Philosophy",Thinker,3.142280674
663,5f1bb325896f82cdbda61105,/entries/francis-bacon/,Francis Bacon,Thinker,Thinker,3.149355072
534,5f1bb175896f82cdbda61012,/entries/dante/,Dante Alighieri,"Thinker, Aesthetics and Philosophy of Art",Thinker,3.162872343
1229,5f1bb9eb896f82cdbda61530,/entries/william-auvergne/,William of Auvergne,"Thinker,Philosophy of Religion",Thinker,3.182772095
391,5f1bb8db896f82cdbda61489,/entries/skepticism-medieval/,Medieval Skepticism,"Logic,Philosophy of Religion",Logic,3.219912171
162,5f1bb447896f82cdbda611af,/entries/intentionality-ancient/,Intentionality in Ancient Philosophy,Philosophy of Mind,Philosophy of Mind,3.273240341
743,5f1baf54896f82cdbda60eec,/entries/alexander-aphrodisias/,Alexander of Aphrodisias,Thinker,Thinker,3.335699694
1239,5f1bb3f4896f82cdbda6117b,/entries/ibn-gabirol/,Solomon Ibn Gabirol [Avicebron],"Thinker,Philosophy of Religion,Jewish Philosophy",Thinker,3.416389961
472,5f1bb5a6896f82cdbda612ac,/entries/medieval-literary/,Literary Forms of Medieval Philosophy,Aesthetics and Philosophy of Art,Aesthetics and Philosophy of Art,3.449044957
1485,5f1bb412896f82cdbda6118c,/entries/ikhwan-al-safa/,Ikhwân al-Safâ’,"Thinker,Arabic and Islamic Philosophy,Philosophy of Science",Thinker,3.478738758
475,5f1bb942896f82cdbda614c7,/entries/suhrawardi/,Suhrawardi,"Thinker,Arabic and Islamic Philosophy",Thinker,3.47974364
581,5f1bb4fe896f82cdbda61237,/entries/llull/,Ramon Llull,"Thinker,Philosophy of Religion",Thinker,3.488780431
221,5f1baf44896f82cdbda60ee1,/entries/al-farabi-logic/,al-Farabi’s Philosophy of Logic and Language,"Thinker,Arabic and Islamic Philosophy,Logic",Logic,3.496554182
1060,5f1baf13896f82cdbda60ec6,/entries/abraham-daud/,Abraham Ibn Daud,"Thinker,Jewish Philosophy",Thinker,3.498318535
