,_id,page_url,title,domain_tags,primary_domain,score
867,5f1bb485896f82cdbda611dd,/entries/kant-aesthetics/,Kant’s Aesthetics and Teleology,"Thinker,Aesthetics and Philosophy of Art",Aesthetics and Philosophy of Art,4.633549054
316,5f1bb25f896f82cdbda6108e,/entries/epistemology-naturalized/,Naturalism in Epistemology,Epistemology,Epistemology,4.63568209
979,5f1bb4ec896f82cdbda6122a,/entries/levinas/,Emmanuel Levinas,"Thinker,Continental Philosophy,Ethics",Thinker,4.636980562
324,5f1bb641896f82cdbda6130f,/entries/neoplatonism/,Neoplatonism,Metaphysics,Metaphysics,4.643057984
1248,5f1bb622896f82cdbda612fd,/entries/natorp/,Paul Natorp,"Thinker, Philosophy of Science",Thinker,4.648863874
1542,5f1bb23e896f82cdbda6107d,/entries/environmental-aesthetics/,Environmental Aesthetics,Aesthetics and Philosophy of Art,Aesthetics and Philosophy of Art,4.651675853
1650,5f1bb062896f82cdbda60f80,/entries/cardano/,Girolamo [Geronimo] Cardano,"Thinker, Metaphysics",Thinker,4.680730974
215,5f1bb700896f82cdbda61375,/entries/philosophy-religion/,Philosophy of Religion,Philosophy of Religion,Philosophy of Religion,4.686781814
990,5f1bb244896f82cdbda61080,/entries/epicurus/,Epicurus,"Thinker, Ethics, Metaphysics",Thinker,4.689900478
579,5f1baf88896f82cdbda60f0a,/entries/aquinas-moral-political/,"Aquinas’ Moral, Political, and Legal Philosophy","Thinker,Social and Political Philosophy,Ethics",Social and Political Philosophy,4.749404915
1617,5f1bb76e896f82cdbda613b4,/entries/probability-interpret/,Interpretations of Probability,Philosophy of Mathematics,Philosophy of Mathematics,4.754814232
91,5f1bb2ed896f82cdbda610e3,/entries/feminist-bioethics/,Feminist Bioethics,"Feminist Philosophy,Ethics",Feminist Philosophy,4.759753613
146,5f1bb631896f82cdbda61305,/entries/naturalism-india/,Naturalism in Classical Indian Philosophy,"Indian Philosophy,Metaphysics",Indian Philosophy,4.767462541
179,5f1bb114896f82cdbda60fe0,/entries/consciousness-neuroscience/,The Neuroscience of Consciousness,"Philosophy of Mind,Philosophy of Biology",Philosophy of Mind,4.771317842
860,5f1bb45b896f82cdbda611bd,/entries/james-ward/,James Ward,"Thinker, Metaphysics",Thinker,4.775095083
623,5f1bb5bd896f82cdbda612bd,/entries/merleau-ponty/,Maurice Merleau-Ponty,"Thinker,Continental Philosophy,Philosophy of Mind",Thinker,4.788550658
733,5f1bb28d896f82cdbda610a9,/entries/ethics-it-phenomenology/,Phenomenological Approaches to Ethics and Information Technology,"Epistemology,Ethics,Continental Philosophy,Philosophy of Computer Science",Philosophy of Computer Science,4.835428803
1343,5f1bb1e0896f82cdbda6104d,/entries/disability/,"Disability: Definitions, Models, Experience","Social and Political Philosophy,Ethics,Philosophy of Biology",Social and Political Philosophy,4.836688869
928,5f1bb0e5896f82cdbda60fc8,/entries/computational-mind/,The Computational Theory of Mind,"Philosophy of Mind,Philosophy of Computer Science",Philosophy of Mind,4.85006536
222,5f1bb58a896f82cdbda61296,/entries/marx/,Karl Marx,"Thinker,Social and Political Philosophy",Thinker,4.878729258
858,5f1bb6c0896f82cdbda61352,/entries/peirce/,Charles Sanders Peirce,"Thinker,Logic, Philosophy of Language",Thinker,4.890578281
85,5f1bb352896f82cdbda61121,/entries/gametes-donation-sale/,The Donation and Sale of Human Eggs and Sperm,"Ethics,Philosophy of Biology",Ethics,4.890974027
