,_id,page_url,title,domain_tags,primary_domain,score
443,5f1bb3c9896f82cdbda61162,/entries/history/,Philosophy of History,"Social and Political Philosophy,Continental Philosophy",Social and Political Philosophy,2.957232481
1270,5f1bafc6896f82cdbda60f2d,/entries/artificial-intelligence/,Artificial Intelligence,Philosophy of Computer Science,Philosophy of Computer Science,2.972287201
638,5f1bb5d7896f82cdbda612d2,/entries/mohism/,Mohism,Chinese Philosophy,Chinese Philosophy,2.972940653
1347,5f1bb28a896f82cdbda610a7,/entries/ethics-indian-buddhism/,Ethics in Indian and Tibetan Buddhism,"Ethics,Philosophy of Religion, Indian Philosophy, Chinese Philosophy",Ethics,2.974214039
888,5f1bb1cf896f82cdbda61042,/entries/dialetheism/,Dialetheism,Logic,Logic,3.002872738
688,5f1bb868896f82cdbda61441,/entries/saantarak-sita/,Śāntarakṣita,"Thinker,Indian Philosophy",Thinker,3.003746094
721,5f1bb3a2896f82cdbda6114f,/entries/hegel-aesthetics/,Hegel’s Aesthetics,"Thinker,Aesthetics and Philosophy of Art",Aesthetics and Philosophy of Art,3.016160304
1050,5f1bb7ae896f82cdbda613d5,/entries/qing-philosophy/,Qing Philosophy,Chinese Philosophy,Chinese Philosophy,3.017227522
1421,5f1bb96d896f82cdbda614e4,/entries/thought-experiment/,Thought Experiments,"Philosophy of Science,Epistemology",Philosophy of Science,3.020492552
952,5f1bb884896f82cdbda61453,/entries/schopenhauer/,Arthur Schopenhauer,"Thinker,Continental Philosophy,Ethics,Aesthetics and Philosophy of Art",Thinker,3.021624632
1162,5f1bb61c896f82cdbda612fa,/entries/nagarjuna/,Nāgārjuna,"Thinker,Indian Philosophy",Thinker,3.041810817
315,5f1baf0e896f82cdbda60ec2,/entries/abhidharma/,Abhidharma,"Indian Philosophy,Metaphysics,Epistemology",Indian Philosophy,3.06586488
743,5f1baf33896f82cdbda60ed7,/entries/aesthetics-of-everyday/,Aesthetics of the Everyday,Aesthetics and Philosophy of Art,Aesthetics and Philosophy of Art,3.178221001
1321,5f1bb45d896f82cdbda611bf,/entries/japanese-aesthetics/,Japanese Aesthetics,"Japanese Philosophy,Aesthetics and Philosophy of Art",Japanese Philosophy,3.2299948
115,5f1bb463896f82cdbda611c3,/entries/japanese-zen/,Japanese Zen Buddhist Philosophy,Japanese Philosophy,Japanese Philosophy,3.245339074
267,5f1bb37f896f82cdbda6113a,/entries/gorampa/,Gorampa [go rams pa],"Thinker,Indian Philosophy,Chinese Philosophy",Thinker,3.462793903
1397,5f1bb9ac896f82cdbda6150a,/entries/twotruths-india/,The Theory of Two Truths in India,"Indian Philosophy,Metaphysics,Epistemology",Indian Philosophy,3.513212149
727,5f1bb9c7896f82cdbda6151a,/entries/vasubandhu/,Vasubandhu,"Thinker,Indian Philosophy",Thinker,3.578792049
334,5f1bb04f896f82cdbda60f74,/entries/buddhism-tiantai/,Tiantai Buddhism,Chinese Philosophy,Chinese Philosophy,3.629937467
847,5f1bb096896f82cdbda60f9b,/entries/chinese-change/,Chinese Philosophy of Change (Yijing),"Chinese Philosophy,Metaphysics",Chinese Philosophy,3.63207071
1104,5f1bb5d9896f82cdbda612d3,/entries/mohist-canons/,Mohist Canons,Chinese Philosophy,Chinese Philosophy,3.745558349
1026,5f1bb9da896f82cdbda61526,/entries/watsuji-tetsuro/,Watsuji Tetsurō,"Thinker,Japanese Philosophy, Ethics",Thinker,3.755647843
1387,5f1bb461896f82cdbda611c2,/entries/japanese-pure-land/,Japanese Pure Land Philosophy,Japanese Philosophy,Japanese Philosophy,3.762945679
69,5f1bb09a896f82cdbda60f9e,/entries/chinese-logic-language/,Logic and Language in Early Chinese Philosophy,"Chinese Philosophy,Logic,Philosophy of Language",Chinese Philosophy,3.766784625
884,5f1bb09f896f82cdbda60fa2,/entries/chinese-room/,The Chinese Room Argument,Philosophy of Computer Science,Philosophy of Computer Science,3.777912761
784,5f1bb869896f82cdbda61442,/entries/sakya-pandita/,Sakya Paṇḍita [sa skya paṇ ḍi ta],"Thinker,Indian Philosophy, Chinese Philosophy,Epistemology",Thinker,3.81049045
1367,5f1bb5cb896f82cdbda612c8,/entries/mind-indian-buddhism/,Mind in Indian Buddhist Philosophy,"Philosophy of Mind, Indian Philosophy",Philosophy of Mind,3.840561295
671,5f1bb654896f82cdbda6131d,/entries/nishida-kitaro/,Nishida Kitarō,"Thinker,Japanese Philosophy,Philosophy of Mind, Logic,Metaphysics",Thinker,3.899063585
