,_id,page_url,title,domain_tags,primary_domain,score
1178,5f1bb339896f82cdbda61112,/entries/friedrich-hayek/,Friedrich Hayek,"Thinker,Philosophy of Economics,Social and Political Philosophy",Thinker,3.759788195
292,5f1bb193896f82cdbda61020,/entries/defaults-semantics-pragmatics/,Defaults in Semantics and Pragmatics,Philosophy of Language,Philosophy of Language,3.761553921
1152,5f1bb605896f82cdbda612ed,/entries/moral-psych-emp/,Moral Psychology: Empirical Approaches,"Ethics, Philosophy of Mind",Ethics,3.764505066
1524,5f1bb08e896f82cdbda60f97,/entries/chemistry/,Philosophy of Chemistry,Philosophy of Science,Philosophy of Science,3.765703203
325,5f1bb00f896f82cdbda60f55,/entries/biology-developmental/,Developmental Biology,Philosophy of Biology,Philosophy of Biology,3.770612894
1390,5f1bb767896f82cdbda613b1,/entries/privacy-medicine/,Privacy and Medicine,"Social and Political Philosophy,Philosophy of Biology,Ethics",Social and Political Philosophy,3.774586354
693,5f1bb552896f82cdbda6126b,/entries/logic-temporal/,Temporal Logic,Logic,Logic,3.776121064
601,5f1bb5d6896f82cdbda612d1,/entries/modularity-mind/,Modularity of Mind,"Philosophy of Mind, Philosophy of Biology",Philosophy of Mind,3.780075878
84,5f1bba06896f82cdbda61542,/entries/wright/,Chauncey Wright,"Thinker, Philosophy of Science",Thinker,3.785668454
1509,5f1bb533896f82cdbda61258,/entries/logic-informal/,Informal Logic,Logic,Logic,3.792721495
1343,5f1bb79c896f82cdbda613cb,/entries/psychiatry/,Philosophy of Psychiatry,"Philosophy of Science,Philosophy of Biology,Philosophy of Mind",Philosophy  of Mind,3.794553374
130,5f1bb59f896f82cdbda612a7,/entries/medicine/,Philosophy of Medicine,Philosophy of Biology,Philosophy of Biology,3.826295015
71,5f1bb9cb896f82cdbda6151d,/entries/vienna-circle/,Vienna Circle,"Logic,Philosophy of Language,Philosophy of Science, Epistemology",Logic,3.838343797
1031,5f1bb887896f82cdbda61455,/entries/science-mechanisms/,Mechanisms in Science,Philosophy of Science,Philosophy of Science,3.861369109
1439,5f1bb24a896f82cdbda61084,/entries/epistemic-game/,Epistemic Foundations of Game Theory,"Epistemology,Philosophy of Economics",Philosophy of Economics,3.866214952
419,5f1bb5b6896f82cdbda612b9,/entries/mental-imagery/,Mental Imagery,Philosophy of Mind,Philosophy of Mind,3.881596824
1462,5f1bb59e896f82cdbda612a6,/entries/measurement-science/,Measurement in Science,Philosophy of Science,Philosophy of Science,3.883461852
1342,5f1bb644896f82cdbda61311,/entries/neuroethics/,Neuroethics,"Ethics,Philosophy of Biology",Ethics,3.885711502
1478,5f1bb4fb896f82cdbda61235,/entries/linguistics/,Philosophy of Linguistics,Philosophy of Language,Philosophy of Language,3.893780669
261,5f1bb76a896f82cdbda613b2,/entries/privacy/,Privacy,Social and Political Philosophy,Social and Political Philosophy,3.893923509
