,_id,page_url,title,domain_tags,primary_domain,score
264,5f1bb250896f82cdbda61087,/entries/epistemic-utility/,Epistemic Utility Arguments for Probabilism,Epistemology,Epistemology,5.269659768
1330,5f1bb394896f82cdbda61147,/entries/happiness/,Happiness,Ethics,Ethics,5.280665005
925,5f1bb292896f82cdbda610ac,/entries/ethics-search/,Search Engines and Ethics,"Philosophy of Computer Science, Ethics",Philosophy of Computer Science,5.283523042
852,5f1bb90f896f82cdbda614a9,/entries/speech-acts/,Speech Acts,Philosophy of Language,Philosophy of Language,5.28579354
1025,5f1bb508896f82cdbda6123f,/entries/logic-action/,The Logic of Action,"Philosophy of Mind,Metaphysics",Philosophy of Mind,5.29031041
606,5f1bb77b896f82cdbda613bb,/entries/promises/,Promises,Ethics,Ethics,5.300654944
1006,5f1bb09d896f82cdbda60fa0,/entries/chinese-phil-medicine/,Chinese Philosophy and Chinese Medicine,"Chinese Philosophy,Philosophy of Biology",Chinese Philosophy,5.301512843
113,5f1bb62a896f82cdbda61301,/entries/natural-law-theories/,Natural Law Theories,Ethics,Ethics,5.305592928
1562,5f1bb407896f82cdbda61186,/entries/identity-politics/,Identity Politics,Social and Political Philosophy,Social and Political Philosophy,5.31512055
784,5f1bb7e8896f82cdbda613f6,/entries/race/,Race,"Social and Political Philosophy,Philosophy of Biology,African and African-American Philosophy",Social and Political Philosophy,5.329803241
600,5f1bafd5896f82cdbda60f36,/entries/augustine/,Saint Augustine,"Thinker,Philosophy of Religion",Thinker,5.32994496
1346,5f1bb021896f82cdbda60f60,/entries/bolzano/,Bernard Bolzano,"Thinker,Philosophy of Physics",Thinker,5.335129767
579,5f1bb3dc896f82cdbda6116d,/entries/human-genome/,The Human Genome Project,Philosophy of Biology,Philosophy of Biology,5.338883485
1245,5f1bb3a7896f82cdbda61153,/entries/heidegger/,Martin Heidegger,"Thinker,Continental Philosophy",Thinker,5.341255764
1466,5f1bb0ea896f82cdbda60fca,/entries/computer-science/,The Philosophy of Computer Science,Philosophy of Computer Science,Philosophy of Computer Science,5.343417475
233,5f1bb329896f82cdbda61109,/entries/frederick-douglass/,Frederick Douglass,"Thinker,Social and Political Philosophy,African and African-American Philosophy",Thinker,5.37401182
679,5f1bb0e3896f82cdbda60fc7,/entries/computational-linguistics/,Computational Linguistics,"Philosophy of Computer Science,Philosophy of Language",Philosophy of Computer Science,5.375499888
96,5f1bb4be896f82cdbda61207,/entries/latin-american-metaphilosophy/,Latin American Philosophy: Metaphilosophical Foundations,Latin American and Iberian Philosophy,Latin American and Iberian Philosophy,5.37715472
1512,5f1baf9e896f82cdbda60f18,/entries/arendt/,Hannah Arendt,"Thinker,Social and Political Philosophy,Continental Philosophy",Thinker,5.377672964
316,5f1baf88896f82cdbda60f0a,/entries/aquinas-moral-political/,"Aquinas’ Moral, Political, and Legal Philosophy","Thinker,Social and Political Philosophy,Ethics",Social and Political Philosophy,5.381113718
1292,5f1bb2d2896f82cdbda610d1,/entries/feminism-epistemology/,Feminist Epistemology and Philosophy of Science,"Feminist Philosophy,Epistemology,Philosophy of Science",Feminist Philosophy,5.381383383
1531,5f1bb836896f82cdbda61422,/entries/religious-language/,Religious Language,"Philosophy of Religion,Philosophy of Language",Philosophy of Religion,5.38182912
1599,5f1bb5f9896f82cdbda612e7,/entries/moral-epistemology/,Moral Epistemology,"Ethics,Epistemology",Ethics,5.388264512
1485,5f1bb886896f82cdbda61454,/entries/schutz/,Alfred Schutz,"Thinker,Continental Philosophy,Social and Political Philosophy",Thinker,5.393741927
185,5f1bb4c3896f82cdbda6120c,/entries/law-language/,Law and Language,Philosophy of Law,Philosophy of Law,5.396832642
508,5f1bb829896f82cdbda6141b,/entries/relativism/,Relativism,"Ethics,Social and Political Philosophy",Ethics,5.401452021
1601,5f1bb73d896f82cdbda61399,/entries/popper/,Karl Popper,"Thinker,Philosophy of Science,Social and Political Philosophy",Thinker,5.413319998
1692,5f1baf33896f82cdbda60ed7,/entries/aesthetics-of-everyday/,Aesthetics of the Everyday,Aesthetics and Philosophy of Art,Aesthetics and Philosophy of Art,5.41403046
239,5f1bb2ff896f82cdbda610ee,/entries/fiction/,Fiction,Aesthetics and Philosophy of Art,Aesthetics and Philosophy of Art,5.415828325
807,5f1bb2fc896f82cdbda610ec,/entries/feyerabend/,Paul Feyerabend,"Thinker,Philosophy of Science",Thinker,5.422132569
901,5f1bb277896f82cdbda6109b,/entries/ernst-mach/,Ernst Mach,"Thinker, Philosophy of Science, Philosophy of Biology, Philosophy of Physics",Thinker,5.422152604
42,5f1bb0aa896f82cdbda60fa9,/entries/civic-education/,Civic Education,Social and Political Philosophy,Social and Political Philosophy,5.435168272
555,5f1bafa8896f82cdbda60f1e,/entries/aristotle-ethics/,Aristotle’s Ethics,"Thinker,Ethics",Ethics,5.438014662
467,5f1bb666896f82cdbda61327,/entries/oakeshott/,Michael Oakeshott,"Thinker, Social and Political Philosophy",Thinker,5.438806356
373,5f1bafdc896f82cdbda60f3a,/entries/authenticity/,Authenticity,Continental Philosophy,Continental Philosophy,5.439149627
981,5f1bb842896f82cdbda61428,/entries/respect/,Respect,Ethics,Ethics,5.465813609
17,5f1bb779896f82cdbda613ba,/entries/progress/,Progress,Social and Political Philosophy,Social and Political Philosophy,5.469841343
1226,5f1bb387896f82cdbda61140,/entries/grotius/,Hugo Grotius,"Thinker,Social and Political Philosophy",Thinker,5.478234617
150,5f1bb960896f82cdbda614db,/entries/theater/,Philosophy of Theater,Aesthetics and Philosophy of Art,Aesthetics and Philosophy of Art,5.486246859
1149,5f1bb9dd896f82cdbda61528,/entries/weber/,Max Weber,"Thinker,Social and Political Philosophy",Thinker,5.49357946
