,_id,page_url,title,domain_tags,primary_domain,score
475,5f1bb61c896f82cdbda612fa,/entries/nagarjuna/,Nāgārjuna,"Thinker,Indian Philosophy",Thinker,3.003010144
1280,5f1bb584896f82cdbda61291,/entries/maritain/,Jacques Maritain,"Thinker,Social and Political Philosophy",Thinker,3.003112133
362,5f1bb93a896f82cdbda614c2,/entries/structure-scientific-theories/,The Structure of Scientific Theories,Philosophy of Science,Philosophy of Science,3.003918449
904,5f1bb651896f82cdbda6131b,/entries/nietzsche-moral-political/,Nietzsche’s Moral and Political Philosophy,"Thinker,Social and Political Philosophy,Continental Philosophy",Social and Political Philosophy,3.003955953
1530,5f1bb7a5896f82cdbda613d0,/entries/pufendorf-moral/,Pufendorf’s Moral and Political Philosophy,"Thinker,Ethics",Social and Political Philosophy,3.004029665
1055,5f1bb418896f82cdbda61190,/entries/immunology/,Philosophy of Immunology,Philosophy of Biology,Philosophy of Biology,3.004108126
323,5f1bb55c896f82cdbda61271,/entries/logical-form/,Logical Form,Logic,Logic,3.004644224
217,5f1bb775896f82cdbda613b8,/entries/process-theism/,Process Theism,Philosophy of Religion,Philosophy of Religion,3.00511043
510,5f1bb633896f82cdbda61307,/entries/naturalism-moral/,Moral Naturalism,"Ethics,Metaphysics",Ethics,3.005260311
591,5f1bb710896f82cdbda6137f,/entries/plato-cratylus/,Plato’s Cratylus,Thinker,Philosophy of Language,3.006235707
721,5f1baf79896f82cdbda60f00,/entries/ancient-soul/,Ancient Theories of Soul,Philosophy of Religion,Philosophy of Religion,3.006254978
1167,5f1bb9f5896f82cdbda61537,/entries/wilson/,John Cook Wilson,"Thinker,Epistemology",Thinker,3.006479359
1397,5f1bb91f896f82cdbda614b1,/entries/spinoza/,Baruch Spinoza,"Thinker,Jewish Philosophy,Metaphysics,Social and Political Philosophy",Thinker,3.00689299
185,5f1bb2c0896f82cdbda610c6,/entries/feigl/,Herbert Feigl,"Thinker,Philosophy of Science,Epistemology",Thinker,3.007214883
979,5f1bb589896f82cdbda61295,/entries/marty/,Anton Marty,"Thinker,Philosophy of Mind,Philosophy of Language",Thinker,3.00724236
1345,5f1bb9d4896f82cdbda61523,/entries/walter-chatton/,Walter Chatton,"Thinker,Philosophy of Religion, Metaphysics",Thinker,3.007312462
804,5f1bb2fc896f82cdbda610ec,/entries/feyerabend/,Paul Feyerabend,"Thinker,Philosophy of Science",Thinker,3.007388222
1191,5f1bb577896f82cdbda61286,/entries/maimonides-islamic/,The Influence of Islamic Thought on Maimonides,"Thinker,Arabic and Islamic Philosophy, Jewish Philosophy",Arabic and Islamic Philosophy,3.007411737
1132,5f1bb6ec896f82cdbda6136a,/entries/phil-science-latin-america/,Philosophy of Science in Latin America,"Latin American and Iberian Philosophy, Philosophy of Science",Latin American and Iberian Philosophy,3.008888408
1507,5f1bb763896f82cdbda613af,/entries/prior/,Arthur Prior,"Thinker, Logic",Thinker,3.00966192
303,5f1bafe2896f82cdbda60f3d,/entries/autrecourt/,Nicholas of Autrecourt,Thinker,Thinker,3.009855037
602,5f1bb77b896f82cdbda613bb,/entries/promises/,Promises,Ethics,Ethics,3.010206633
537,5f1bb5f8896f82cdbda612e6,/entries/moral-epistemology-a-priori/,A Priorism in Moral Epistemology,"Epistemology,Ethics",Epistemology,3.010273726
329,5f1bb5c7896f82cdbda612c5,/entries/mill-moral-political/,Mill’s Moral and Political Philosophy,"Thinker,Social and Political Philosophy",Social and Political Philosophy,3.010671447
1556,5f1bb535896f82cdbda61259,/entries/logic-information/,Logic and Information,Logic,Logic,3.011219675
1023,5f1bb557896f82cdbda6126e,/entries/logical-constants/,Logical Constants,Logic,Logic,3.011490246
14,5f1bb580896f82cdbda6128e,/entries/marcuse/,Herbert Marcuse,"Thinker,Continental Philosophy,Social and Political Philosophy",Thinker,3.011932112
137,5f1bb730896f82cdbda61391,/entries/plural-quant/,Plural Quantification,Logic,Logic,3.012103076
244,5f1bb56d896f82cdbda6127e,/entries/lvov-warsaw/,Lvov-Warsaw School,"Logic,Metaphysics",Logic,3.012713784
1336,5f1bb48c896f82cdbda611e3,/entries/kant-mathematics/,Kant’s Philosophy of Mathematics,"Thinker,Philosophy of Mathematics",Philosophy of Mathematics,3.013217645
1367,5f1bb2ce896f82cdbda610cf,/entries/feminism-disability/,Feminist Perspectives on Disability,"Feminist Philosophy,Social and Political Philosophy",Feminist Philosophy,3.014235501
1202,5f1bb42a896f82cdbda6119a,/entries/incompatibilism-theories/,Incompatibilist (Nondeterministic) Theories of Free Will,Philosophy of Mind,Philosophy of Mind,3.014727644
344,5f1bb529896f82cdbda61252,/entries/logic-higher-order/,Second-order and Higher-order Logic,Logic,Logic,3.01537787
1436,5f1baf75896f82cdbda60efe,/entries/anaxagoras/,Anaxagoras,Thinker,Thinker,3.015445267
760,5f1bb235896f82cdbda61077,/entries/emotions-17th18th/,17th and 18th Century Theories of Emotions,Philosophy of Mind,Philosophy of Mind,3.01668834
1420,5f1bb122896f82cdbda60fe7,/entries/consequentialism/,Consequentialism,"Ethics,Social and Political Philosophy",Ethics,3.017357191
232,5f1bb593896f82cdbda6129d,/entries/mathematics-inconsistent/,Inconsistent Mathematics,Philosophy of Mathematics,Philosophy of Mathematics,3.018622674
811,5f1bb98a896f82cdbda614f5,/entries/trinity/,Trinity,Philosophy of Religion,Philosophy of Religion,3.019448508
1592,5f1bb2f3896f82cdbda610e7,/entries/feminist-power/,Feminist Perspectives on Power,Feminist Philosophy,Feminist Philosophy,3.019618417
300,5f1bb658896f82cdbda6131f,/entries/nominalism-metaphysics/,Nominalism in Metaphysics,Metaphysics,Metaphysics,3.01978485
645,5f1bb74b896f82cdbda613a1,/entries/practical-reason-action/,Practical Reason and the Structure of Actions,"Philosophy of Mind,Social and Political Philosophy,Logic",Logic,3.021254247
705,5f1bb881896f82cdbda61452,/entries/schopenhauer-aesthetics/,Schopenhauer’s Aesthetics,"Thinker,Aesthetics and Philosophy of Art",Aesthetics and Philosophy of Art,3.021383136
20,5f1bb377896f82cdbda61136,/entries/goedel-incompleteness/,Gödel’s Incompleteness Theorems,"Thinker,Philosophy of Mathematics",Philosophy of Mathematics,3.021644828
1009,5f1bb559896f82cdbda6126f,/entries/logical-construction/,Logical Constructions,Logic,Logic,3.022933366
607,5f1bb94f896f82cdbda614d0,/entries/tarski-truth/,Tarski’s Truth Definitions,"Thinker,Logic",Logic,3.023154697
106,5f1bb57d896f82cdbda6128b,/entries/mally/,Ernst Mally,"Thinker, Logic",Thinker,3.024729546
481,5f1bb4e3896f82cdbda61223,/entries/leibniz-modal/,Leibniz’s Modal Metaphysics,"Thinker,Metaphysics",Metaphysics,3.025090014
998,5f1bb936896f82cdbda614c0,/entries/structural-realism/,Structural Realism,"Metaphysics,Philosophy of Physics",Metaphysics,3.0254124
1246,5f1bb901896f82cdbda6149e,/entries/sounds/,Sounds,Philosophy of Mind,Philosophy of Mind,3.026062414
791,5f1bb4b8896f82cdbda61205,/entries/large-cardinals-determinacy/,Large Cardinals and Determinacy,Philosophy of Mathematics,Philosophy of Mathematics,3.029848677
1209,5f7678ca038c9c30f78468f9,/entries/boethius-dacia/,Boethius of Dacia,"Thinker, Logic",Thinker,3.032398713
140,5f1bb5bb896f82cdbda612bc,/entries/mereology/,Mereology,Metaphysics,Metaphysics,3.038142384
451,5f1bb8bf896f82cdbda61475,/entries/settheory-alternative/,Alternative Axiomatic Set Theories,Philosophy of Mathematics,Philosophy of Mathematics,3.048650989
897,5f1bb7cc896f82cdbda613e7,/entries/qt-nvd/,Quantum Theory and Mathematical Rigor,"Philosophy of Physics,Philosophy of Mathematics",Philosophy of Physics,3.062702979
312,5f1bb755896f82cdbda613a7,/entries/prediction-accommodation/,Prediction versus Accommodation,"Epistemology,Philosophy of Science",Epistemology,3.078822144
