,_id,page_url,title,domain_tags,primary_domain,score
75,5f1bb0b9896f82cdbda60fb1,/entries/cockburn/,Catharine Trotter Cockburn,"Thinker, Epistemology, Ethics",Thinker,2.096928818
888,5f1bb436896f82cdbda611a2,/entries/information/,Information,Epistemology,Epistemology,2.126495805
889,5f1bb622896f82cdbda612fd,/entries/natorp/,Paul Natorp,"Thinker, Philosophy of Science",Thinker,2.127158143
1044,5f1bb606896f82cdbda612ee,/entries/moral-realism/,Moral Realism,Ethics,Ethics,2.145141559
909,5f1bb464896f82cdbda611c4,/entries/jaspers/,Karl Jaspers,"Thinker,Continental Philosophy",Thinker,2.190050731
628,5f1bb0cd896f82cdbda60fbc,/entries/colonialism/,Colonialism,Social and Political Philosophy,Social and Political Philosophy,2.19055418
356,5f1bb384896f82cdbda6113e,/entries/grice/,Paul Grice,"Thinker, Philosophy of Language",Thinker,2.191972655
911,5f1bafb5896f82cdbda60f26,/entries/aristotle-rhetoric/,Aristotle’s Rhetoric,"Thinker,Logic",Logic,2.199329939
971,5f1bb3f6896f82cdbda6117c,/entries/ibn-kammuna/,Ibn Kammuna,"Thinker,Jewish Philosophy,Philosophy of Religion",Thinker,2.222705004
1048,5f1baf26896f82cdbda60ece,/entries/adorno/,Theodor W. Adorno,"Thinker,Continental Philosophy,Social and Political Philosophy",Thinker,2.240292179
1149,5f1bb476896f82cdbda611d2,/entries/justice-global/,Global Justice,Social and Political Philosophy,Social and Political Philosophy,2.249112399
1035,5f1bafec896f82cdbda60f43,/entries/bauer/,Bruno Bauer,"Thinker, Social and Political Philosophy",Thinker,2.251444367
923,5f1baf3e896f82cdbda60ede,/entries/agrippa-nettesheim/,Heinrich Cornelius Agrippa von Nettesheim,Thinker,Thinker,2.252751514
457,5f1bb7aa896f82cdbda613d3,/entries/pythagoras/,Pythagoras,"Thinker,Philosophy of Mathematics",Thinker,2.25290078
101,5f1baf79896f82cdbda60f00,/entries/ancient-soul/,Ancient Theories of Soul,Philosophy of Religion,Philosophy of Religion,2.254072922
1028,5f1bb81b896f82cdbda61413,/entries/reichenbach/,Hans Reichenbach,"Thinker, Philosophy of Science, Epistemology",Thinker,2.254367756
1083,5f1bafb6896f82cdbda60f27,/entries/aristotle/,Aristotle,"Thinker,Logic,Metaphysics,Ethics,Social and Political Philosophy,Aesthetics and Philosophy of Art",Thinker,2.2547112
482,5f1bb854896f82cdbda61434,/entries/roger-bacon/,Roger Bacon,"Thinker,Philosophy of Language, Philosophy of Religion",Thinker,2.254729215
958,5f1bb04f896f82cdbda60f74,/entries/buddhism-tiantai/,Tiantai Buddhism,Chinese Philosophy,Chinese Philosophy,2.254838767
1144,5f1bb03b896f82cdbda60f6f,/entries/bruno/,Giordano Bruno,"Thinker,Philosophy of Religion,Metaphysics",Thinker,2.254999595
849,5f1bb8ea896f82cdbda61490,/entries/social-institutions/,Social Institutions,Social and Political Philosophy,Social and Political Philosophy,2.25576491
18,5f1bb4c6896f82cdbda6120e,/entries/lawphil-naturalism/,Naturalism in Legal Philosophy,Philosophy of Law,Philosophy of Law,2.256214929
873,5f1bb596896f82cdbda612a0,/entries/max-stirner/,Max Stirner,"Thinker, Social and Political Philosophy",Thinker,2.256788938
1184,5f1bb036896f82cdbda60f6c,/entries/brentano/,Franz Brentano,"Thinker,Philosophy of Mind,Continental Philosophy",Thinker,2.256985132
285,5f1bb2f2896f82cdbda610e6,/entries/feminist-philosophy/,Feminist Philosophy,Feminist Philosophy,Feminist Philosophy,2.257147184
286,5f1bb7a3896f82cdbda613cf,/entries/publicity/,Publicity,Social and Political Philosophy,Social and Political Philosophy,2.258475416
901,5f1bb278896f82cdbda6109c,/entries/erotic-art/,Erotic Art,"Aesthetics and Philosophy of Art,Social and Political Philosophy",Aesthetics and Philosophy of Art,2.25891053
448,5f1bb84d896f82cdbda61430,/entries/rights/,Rights,"Social and Political Philosophy,Ethics",Social and Political Philosophy,2.259271782
466,5f1bb884896f82cdbda61453,/entries/schopenhauer/,Arthur Schopenhauer,"Thinker,Continental Philosophy,Ethics,Aesthetics and Philosophy of Art",Thinker,2.260463318
950,5f1bb713896f82cdbda61381,/entries/plato-ethics-shorter/,Plato’s Shorter Ethical Works,Thinker,Ethics,2.260649208
518,5f1bafe6896f82cdbda60f3f,/entries/ayer/,Alfred Jules Ayer,"Thinker,Epistemology,Logic,Philosophy of Language",Thinker,2.260772038
807,5f1bb997896f82cdbda614fd,/entries/truth-pluralist/,Pluralist Theories of Truth,Epistemology,Epistemology,2.262061306
1177,5f1baf61896f82cdbda60ef4,/entries/altruism-empirical/,Empirical Approaches to Altruism,"Ethics, Social and Political Philosophy",Ethics,2.262836826
194,5f1bb58a896f82cdbda61296,/entries/marx/,Karl Marx,"Thinker,Social and Political Philosophy",Thinker,2.265212315
1123,5f1bb2b1896f82cdbda610bd,/entries/experimental-philosophy/,Experimental Philosophy,"Epistemology,Philosophy of Science",Epistemology,2.266194255
848,5f1bb8a1896f82cdbda61464,/entries/scottish-18th/,Scottish Philosophy in the 18th Century,Metaphysics,Metaphysics,2.268603654
62,5f1bb156896f82cdbda61004,/entries/cosmopolitanism/,Cosmopolitanism,Social and Political Philosophy,Social and Political Philosophy,2.269466333
215,5f1bb4c5896f82cdbda6120d,/entries/law-limits/,The Limits of Law,Philosophy of Law,Philosophy of Law,2.270606647
899,5f1bb443896f82cdbda611ac,/entries/intellectual-property/,Intellectual Property,Social and Political Philosophy,Social and Political Philosophy,2.271230088
156,5f1bb06f896f82cdbda60f87,/entries/catharine-macaulay/,Catharine Macaulay,"Thinker, Social and Political Philosophy",Thinker,2.271713996
897,5f1bb237896f82cdbda61078,/entries/empathy/,Empathy,"Philosophy of Mind,Ethics",Ethics,2.276833801
1054,5f1bb9d0896f82cdbda61520,/entries/voluntarism-theological/,Theological Voluntarism,Philosophy of Religion,Philosophy of Religion,2.295789213
220,5f1bb298896f82cdbda610b0,/entries/euthanasia-voluntary/,Voluntary Euthanasia,"Ethics, Social and Political Philosophy",Ethics,2.297164371
243,5f1bb3d4896f82cdbda61169,/entries/holkot/,Robert Holkot,Thinker,Thinker,2.327814525
999,5f1bb7f3896f82cdbda613fd,/entries/rationality-instrumental/,Instrumental Rationality,"Philosophy of Mind, Ethics, Philosophy of Economics, Logic",Philosophy of Mind,2.328756134
764,5f1bb244896f82cdbda61080,/entries/epicurus/,Epicurus,Thinker,Thinker,2.363834023
450,5f1bb3cb896f82cdbda61163,/entries/hobbes-moral/,Hobbes’s Moral and Political Philosophy,"Thinker,Social and Political Philosophy",Ethics,2.375094152
581,5f1bb571896f82cdbda61281,/entries/machiavelli/,Niccolò Machiavelli,"Thinker,Social and Political Philosophy",Thinker,2.381171094
1012,5f1bb1bb896f82cdbda61036,/entries/desert/,Desert,Social and Political Philosophy,Social and Political Philosophy,2.382439363
996,5f1bb9f5896f82cdbda61537,/entries/wilson/,John Cook Wilson,"Thinker,Epistemology",Thinker,2.382661666
128,5f1bb4c0896f82cdbda61209,/entries/latinx/,Latinx Philosophy,Latin American and Iberian Philosophy,Latin American and Iberian Philosophy,2.383006216
510,5f1bb867896f82cdbda61440,/entries/saadya/,Saadya [Saadiah],"Thinker,Jewish Philosophy,Epistemology",Thinker,2.383172109
844,5f1bb4d7896f82cdbda6121b,/entries/legitimacy/,Political Legitimacy,Social and Political Philosophy,Social and Political Philosophy,2.383667084
965,5f7678ca038c9c30f78468f9,/entries/boethius-dacia/,Boethius of Dacia,"Thinker, Logic",Thinker,2.384043116
960,5f1bb4ce896f82cdbda61214,/entries/legal-econanalysis/,The Economic Analysis of Law,"Philosophy of Economics,Philosophy of Law",Philosophy of Law,2.384145967
71,5f1bb235896f82cdbda61077,/entries/emotions-17th18th/,17th and 18th Century Theories of Emotions,Philosophy of Mind,Philosophy of Mind,2.384715228
940,5f1bb71d896f82cdbda61384,/entries/plato-metaphysics/,Plato’s Middle Period Metaphysics and Epistemology,Thinker,Metaphysics,2.38506635
1025,5f1bb74f896f82cdbda613a3,/entries/practical-reason/,Practical Reason,"Philosophy of Mind,Logic,Ethics",Logic,2.385976078
658,5f1bb297896f82cdbda610af,/entries/eugenics/,Eugenics,"Ethics,Philosophy of Biology",Ethics,2.390953375
973,5f1bb621896f82cdbda612fc,/entries/nationalism/,Nationalism,Social and Political Philosophy,Social and Political Philosophy,2.391631345
709,5f1bb851896f82cdbda61432,/entries/risk/,Risk,"Ethics,Epistemology, Philosophy of Science, Philosophy of Economics",Ethics,2.392218508
459,5f1bb098896f82cdbda60f9d,/entries/chinese-legalism/,Legalism in Chinese Philosophy,"Chinese Philosophy,Philosophy of Law",Chinese Philosophy,2.392219726
926,5f1bb75f896f82cdbda613ac,/entries/prichard/,Harold Arthur Prichard,"Thinker, Ethics",Thinker,2.396811291
17,5f1bb2fa896f82cdbda610eb,/entries/feminist-social-epistemology/,Feminist Social Epistemology,"Feminist Philosophy,Social and Political Philosophy, Epistomology",Feminist Philosophy,2.441283625
539,5f7678ef038c9c30f784692e,/entries/luther/,Martin Luther,"Thinker,Philosophy of Religion",Thinker,2.443110173
