,_id,page_url,title,domain_tags,primary_domain,score
1075,5f1bb5bd896f82cdbda612bd,/entries/merleau-ponty/,Maurice Merleau-Ponty,"Thinker,Continental Philosophy,Philosophy of Mind",Thinker,3.035375413
908,5f1bafe0896f82cdbda60f3c,/entries/autonomy-moral/,Autonomy in Moral and Political Philosophy,"Social and Political Philosophy,Ethics",Social and Political Philosophy,3.138218549
481,5f1bb5f9896f82cdbda612e7,/entries/moral-epistemology/,Moral Epistemology,"Ethics,Epistemology",Ethics,3.196330433
751,5f1bb8f9896f82cdbda61499,/entries/sophie-de-grouchy/,Sophie de Grouchy,"Thinker,Ethics,Social and Political Philosophy",Thinker,3.244542467
724,5f1bb892896f82cdbda6145b,/entries/scientific-objectivity/,Scientific Objectivity,Philosophy of Science,Philosophy of Science,3.248539006
1338,5f1bb25f896f82cdbda6108e,/entries/epistemology-naturalized/,Naturalism in Epistemology,Epistemology,Epistemology,3.250938873
794,5f1bb163896f82cdbda6100b,/entries/critical-theory/,Critical Theory,"Social and Political Philosophy,Continental Philosophy",Continental Philosophy,3.262315427
819,5f1bb5c7896f82cdbda612c5,/entries/mill-moral-political/,Mill’s Moral and Political Philosophy,"Thinker,Social and Political Philosophy",Social and Political Philosophy,3.269950725
701,5f1bb6ff896f82cdbda61374,/entries/philosophy-mexico/,Philosophy in Mexico,Latin American and Iberian Philosophy,Latin American and Iberian Philosophy,3.295965139
1115,5f1bb775896f82cdbda613b8,/entries/process-theism/,Process Theism,Philosophy of Religion,Philosophy of Religion,3.396778604
43,5f1bb86e896f82cdbda61444,/entries/sartre/,Jean-Paul Sartre,"Thinker,Continental Philosophy,Social and Political Philosophy,Aesthetics and Philosophy of Art",Thinker,3.405975737
158,5f1bafe7896f82cdbda60f40,/entries/ayn-rand/,Ayn Rand,"Thinker, Aesthetics and Philosophy of Art, Social and Political Philosophy",Thinker,3.414341497
429,5f1bb5b5896f82cdbda612b8,/entries/mental-disorder/,Mental Disorder (Illness),"Philosophy of Mind,Philosophy of Biology",Philosophy of Mind,3.423481408
999,5f1bb580896f82cdbda6128e,/entries/marcuse/,Herbert Marcuse,"Thinker,Continental Philosophy,Social and Political Philosophy",Thinker,3.431565773
1332,5f1bb583896f82cdbda61290,/entries/margaret-fell/,Margaret Fell,"Thinker,Feminist Philosophy",Thinker,3.442295685
1457,5f1bb2ec896f82cdbda610e2,/entries/feminism-trans/,Feminist Perspectives on Trans Issues,"Feminist Philosophy,Philosophy of Biology",Feminist Philosophy,3.452049368
375,5f1bb2e2896f82cdbda610db,/entries/feminism-metaphysics/,Feminist Metaphysics,"Feminist Philosophy,Metaphysics",Feminist Philosophy,3.469163963
1229,5f1bb198896f82cdbda61022,/entries/deleuze/,Gilles Deleuze,"Thinker,Continental Philosophy,Metaphysics,Social and Political Philosophy",Thinker,3.477003607
221,5f1bb327896f82cdbda61107,/entries/francois-barre/,François Poulain de la Barre,"Thinker,Feminist Philosophy,Ethics",Thinker,3.511458813
1387,5f1baf7d896f82cdbda60f03,/entries/anna-julia-cooper/,Anna Julia Cooper,"Thinker,Social and Political Philosophy, African and African-American Philosophy,Feminist Philosophy",Thinker,3.534260231
40,5f1bb2da896f82cdbda610d6,/entries/feminism-globalization/,Feminist Perspectives on Globalization,"Feminist Philosophy,Philosophy of Economics",Feminist Philosophy,3.571447278
774,5f1bb329896f82cdbda61109,/entries/frederick-douglass/,Frederick Douglass,"Thinker,Social and Political Philosophy,African and African-American Philosophy",Thinker,3.629417053
725,5f1bb216896f82cdbda61069,/entries/education-philosophy/,Philosophy of Education,Social and Political Philosophy,Social and Political Philosophy,3.664916074
1383,5f1bb2e3896f82cdbda610dc,/entries/feminism-moralpsych/,Feminist Moral Psychology,"Feminist Philosophy,Ethics",Feminist Philosophy,3.739033774
1243,5f1bb2d9896f82cdbda610d5,/entries/feminism-gender/,Feminist Perspectives on Sex and Gender,"Feminist Philosophy,Philosophy of Biology",Feminist Philosophy,3.784928204
1328,5f1bb2fa896f82cdbda610eb,/entries/feminist-social-epistemology/,Feminist Social Epistemology,"Feminist Philosophy,Social and Political Philosophy, Epistomology",Feminist Philosophy,3.819397726
591,5f1bb2d2896f82cdbda610d1,/entries/feminism-epistemology/,Feminist Epistemology and Philosophy of Science,"Feminist Philosophy,Epistemology,Philosophy of Science",Feminist Philosophy,3.838617357
1257,5f1bb88f896f82cdbda61459,/entries/scientific-knowledge-social/,The Social Dimensions of Scientific Knowledge,"Epistemology,Philosophy of Science,Social and Political Philosophy",Philosophy of Science,3.894094285
451,5f1bb289896f82cdbda610a6,/entries/ethics-environmental/,Environmental Ethics,"Ethics,Social and Political Philosophy",Ethics,3.998747996
416,5f1bb2e7896f82cdbda610df,/entries/feminism-psychoanalysis/,Psychoanalytic Feminism,"Feminist Philosophy,Philosophy of Mind",Feminist Philosophy,4.030673449
36,5f1bb2f6896f82cdbda610e9,/entries/feminist-science/,Feminist Perspectives on Science,"Feminist Philosophy,Philosophy of Science",Feminist Philosophy,4.059542877
52,5f1bb4bf896f82cdbda61208,/entries/latin-american-philosophy/,Latin American Philosophy,Latin American and Iberian Philosophy,Latin American and Iberian Philosophy,4.064959303
496,5f1bb2d4896f82cdbda610d2,/entries/feminism-ethics/,Feminist Ethics,"Feminist Philosophy,Ethics",Feminist Philosophy,4.078694489
1182,5f1bb586896f82cdbda61293,/entries/marriage/,Marriage and Domestic Partnership,Social and Political Philosophy,Social and Political Philosophy,4.142884397
997,5f1bb2c2896f82cdbda610c7,/entries/femapproach-analy-cont/,Intersections Between Analytic and Continental Feminism,"Feminist Philosophy,Continental Philosophy",Feminist Philosophy,4.268882509
592,5f1bb1da896f82cdbda6104a,/entries/disability-critical/,Critical Disability Theory,Social and Political Philosophy,Social and Political Philosophy,4.324729652
21,5f1bb2ef896f82cdbda610e4,/entries/feminist-body/,Feminist Perspectives on the Body,"Feminist Philosophy,Philosophy of Biology",Feminist Philosophy,4.361432475
658,5f1bb2cd896f82cdbda610ce,/entries/feminism-class/,Feminist Perspectives on Class and Work,"Feminist Philosophy,Social and Political Philosophy",Feminist Philosophy,4.399599409
785,5f1bb2f8896f82cdbda610ea,/entries/feminist-sex-markets/,Feminist Perspectives on Sex Markets,"Feminist Philosophy,Social and Political Philosophy,Philosophy of Economics",Feminist Philosophy,4.400240483
1164,5f1baff4896f82cdbda60f48,/entries/beauvoir/,Simone de Beauvoir,"Thinker,Continental Philosophy,Feminist Philosophy,Ethics,Social and Political Philosophy",Thinker,4.400833675
1320,5f1bb2ed896f82cdbda610e3,/entries/feminist-bioethics/,Feminist Bioethics,"Feminist Philosophy,Ethics",Feminist Philosophy,4.474540774
480,5f1bb2f3896f82cdbda610e7,/entries/feminist-power/,Feminist Perspectives on Power,"Feminist Philosophy,Social and Political Philosophy",Feminist Philosophy,4.529145083
1165,5f1bb4c0896f82cdbda61209,/entries/latinx/,Latinx Philosophy,Latin American and Iberian Philosophy,Latin American and Iberian Philosophy,4.619858564
671,5f1bb2ce896f82cdbda610cf,/entries/feminism-disability/,Feminist Perspectives on Disability,"Feminist Philosophy,Social and Political Philosophy",Feminist Philosophy,4.676945041
207,5f1bb2d0896f82cdbda610d0,/entries/feminism-environmental/,Feminist Environmental Philosophy,"Feminist Philosophy,Social and Political Philosophy",Feminist Philosophy,4.891636321
952,5f1bb2c9896f82cdbda610cc,/entries/feminism-aesthetics/,Feminist Aesthetics,"Feminist Philosophy,Aesthetics and Philosophy of Art",Feminist Philosophy,5.019951357
827,5f1bb2db896f82cdbda610d7,/entries/feminism-language/,Feminist Philosophy of Language,"Feminist Philosophy,Philosophy of Language",Feminist Philosophy,5.035405881
311,5f1bb2f5896f82cdbda610e8,/entries/feminist-religion/,Feminist Philosophy of Religion,"Feminist Philosophy,Philosophy of Religion",Feminist Philosophy,5.095643823
1316,5f1bb2dd896f82cdbda610d8,/entries/feminism-latin-america/,Latin American Feminism,"Latin American and Iberian Philosophy, Feminist Philosophy",Latin American and Iberian Philosophy,5.097454374
603,5f1bb2f0896f82cdbda610e5,/entries/feminist-philosophy-biology/,Feminist Philosophy of Biology,"Feminist Philosophy,Philosophy of Biology",Feminist Philosophy,5.120078027
1087,5f1bb2e6896f82cdbda610de,/entries/feminism-political/,Feminist Political Philosophy,"Feminist Philosophy,Social and Political Philosophy",Feminist Philosophy,5.21059273
752,5f1bb2e0896f82cdbda610da,/entries/feminism-liberal/,Liberal Feminism,"Feminist Philosophy,Social and Political Philosophy",Feminist Philosophy,5.367453175
533,5f1baf24896f82cdbda60ecd,/entries/addams-jane/,Jane Addams,"Thinker,Social and Political Philosophy,Epistemology,Feminist Philosophy",Thinker,5.38878537
304,5f1bb2c5896f82cdbda610c9,/entries/femapproach-continental/,Continental Feminism,"Feminist Philosophy,Continental Philosophy",Feminist Philosophy,5.43903867
1247,5f1bb2eb896f82cdbda610e1,/entries/feminism-self/,Feminist Perspectives on the Self,"Feminist Philosophy,Philosophy of Mind",Feminist Philosophy,5.555452132
1394,5f1bb2df896f82cdbda610d9,/entries/feminism-law/,Feminist Philosophy of Law,"Feminist Philosophy,Philosophy of Law",Feminist Philosophy,5.570483129
763,5f1bb2d7896f82cdbda610d4,/entries/feminism-femhist/,Feminist History of Philosophy,Feminist Philosophy,Feminist Philosophy,5.64101131
1370,5f1bb2f2896f82cdbda610e6,/entries/feminist-philosophy/,Feminist Philosophy,Feminist Philosophy,Feminist Philosophy,5.700281685
1357,5f1bb2c6896f82cdbda610ca,/entries/femapproach-prag-cont/,Intersections Between Pragmatist and Continental Feminism,"Feminist Philosophy,Continental Philosophy",Feminist Philosophy,5.828392741
320,5f1bb2c7896f82cdbda610cb,/entries/femapproach-pragmatism/,Pragmatist Feminism,Feminist Philosophy,Feminist Philosophy,5.8740328
7,5f1bb2c3896f82cdbda610c8,/entries/femapproach-analytic/,Analytic Feminism,Feminist Philosophy,Feminist Philosophy,6.047624812
