,_id,page_url,title,domain_tags,primary_domain,score
8,5f1bb700896f82cdbda61375,/entries/philosophy-religion/,Philosophy of Religion,Philosophy of Religion,Philosophy of Religion,2.0576144402932997
25,5f1bb090896f82cdbda60f98,/entries/childhood/,The Philosophy of Childhood,"Philosophy of Biology, Philosophy of Mind",Philosophy of Biology,2.057564416256467
31,5f1bb9e5896f82cdbda6152c,/entries/whewell/,William Whewell,"Thinker, Philosophy of Science",Thinker,2.055619360398157
43,5f1bb45d896f82cdbda611bf,/entries/japanese-aesthetics/,Japanese Aesthetics,"Japanese Philosophy,Aesthetics and Philosophy of Art",Japanese Philosophy,2.5280230371661934
72,5f1bb45e896f82cdbda611c0,/entries/japanese-confucian/,Japanese Confucian Philosophy,Japanese Philosophy,Japanese Philosophy,3.5038157104695618
113,5f1baf7d896f82cdbda60f03,/entries/anna-julia-cooper/,Anna Julia Cooper,"Thinker,Social and Political Philosophy, African and African-American Philosophy,Feminist Philosophy",Thinker,2.77948592989093
126,5f1bb2f2896f82cdbda610e6,/entries/feminist-philosophy/,Feminist Philosophy,Feminist Philosophy,Feminist Philosophy,2.077351111213655
174,5f1bb88f896f82cdbda61459,/entries/scientific-knowledge-social/,The Social Dimensions of Scientific Knowledge,"Epistemology,Philosophy of Science,Social and Political Philosophy",Philosophy of Science,2.3872514015422537
262,5f1bb4c0896f82cdbda61209,/entries/latinx/,Latinx Philosophy,Latin American and Iberian Philosophy,Latin American and Iberian Philosophy,2.125049180838296
286,5f1bb214896f82cdbda61068,/entries/economics/,Philosophy of Economics,"Philosophy of Economics, Social and Political Philosophy",Philosophy of Economics,2.0525727141323404
290,5f1bb4f4896f82cdbda61230,/entries/liberation/,Philosophy of Liberation,"Social and Political Philosophy, Latin American and Iberian Philosophy",Latin American and Iberian Philosophy,2.113663983339598
293,5f1bb1d0896f82cdbda61043,/entries/diderot/,Denis Diderot,"Thinker, Aesthetics and Philosophy of Art, Philosophy of Language",Thinker,2.0541093463561966
295,5f1bb2af896f82cdbda610bc,/entries/experimental-moral/,Experimental Moral Philosophy,"Ethics,Epistemology",Ethics,2.055083947509503
332,5f1bb461896f82cdbda611c2,/entries/japanese-pure-land/,Japanese Pure Land Philosophy,Japanese Philosophy,Japanese Philosophy,3.791764494925721
370,5f1bb3cc896f82cdbda61164,/entries/hobbes-science/,Hobbes’ Philosophy of Science,"Thinker,Philosophy of Science",Philosophy of Science,2.0586679678751647
374,5f1bb9e0896f82cdbda6152a,/entries/wesley-salmon/,Wesley Salmon,Thinker,Thinker,2.262663768743311
377,5f1bb0e6896f82cdbda60fc9,/entries/computational-philosophy/,Computational Philosophy,Philosophy of Computer Science,Philosophy of Computer Science,2.126791754825059
378,5f1bb2e6896f82cdbda610de,/entries/feminism-political/,Feminist Political Philosophy,"Feminist Philosophy,Social and Political Philosophy",Feminist Philosophy,2.091097795313207
435,5f1bb9e8896f82cdbda6152e,/entries/wilhelm-humboldt/,Wilhelm von Humboldt,"Thinker, Philosophy of Language",Thinker,2.5060652005462694
482,5f1bb174896f82cdbda61011,/entries/dance/,The Philosophy of Dance,Aesthetics and Philosophy of Art,Aesthetics and Philosophy of Art,2.560990339991129
594,5f1bb09b896f82cdbda60f9f,/entries/chinese-metaphysics/,Metaphysics in Chinese Philosophy,"Chinese Philosophy,Metaphysics",Chinese Philosophy,2.261884669362554
654,5f1bb2d7896f82cdbda610d4,/entries/feminism-femhist/,Feminist History of Philosophy,Feminist Philosophy,Feminist Philosophy,2.057788423387035
662,5f1bb068896f82cdbda60f83,/entries/cassirer/,Ernst Cassirer,"Thinker,Philosophy of Mathematics,Philosophy of Science,Social and Political Philosophy",Thinker,2.051349612251025
709,5f1bb7ae896f82cdbda613d5,/entries/qing-philosophy/,Qing Philosophy,Chinese Philosophy,Chinese Philosophy,2.5168436722391636
744,5f1bb9da896f82cdbda61526,/entries/watsuji-tetsuro/,Watsuji Tetsurō,"Thinker,Japanese Philosophy, Ethics",Thinker,3.7430610419936956
798,5f1bb460896f82cdbda611c1,/entries/japanese-philosophy/,Japanese Philosophy,Japanese Philosophy,Japanese Philosophy,4.101100986548598
834,5f1bb0ea896f82cdbda60fca,/entries/computer-science/,The Philosophy of Computer Science,Philosophy of Computer Science,Philosophy of Computer Science,2.0872997013555814
849,5f1bb014896f82cdbda60f58,/entries/biology-philosophy/,Philosophy of Biology,Philosophy of Biology,Philosophy of Biology,2.0531844798588894
912,5f1bb2f0896f82cdbda610e5,/entries/feminist-philosophy-biology/,Feminist Philosophy of Biology,"Feminist Philosophy,Philosophy of Biology",Feminist Philosophy,2.0772744850406695
919,5f1bb3c9896f82cdbda61162,/entries/history/,Philosophy of History,Social and Political Philosophy,Social and Political Philosophy,2.472080721003135
941,5f1bb1fc896f82cdbda6105b,/entries/dreams-dreaming/,Dreams and Dreaming,Philosophy of Mind,Philosophy of Mind,2.0555643550112452
945,5f1bb59f896f82cdbda612a7,/entries/medicine/,Philosophy of Medicine,Philosophy of Biology,Philosophy of Biology,2.556740048901549
957,5f1bb5a9896f82cdbda612ae,/entries/medieval-political/,Medieval Political Philosophy,Social and Political Philosophy,Social and Political Philosophy,2.052589978608439
967,5f1bb6fc896f82cdbda61373,/entries/philosophy-mathematics/,Philosophy of Mathematics,Philosophy of Mathematics,Philosophy of Mathematics,2.0621515370782353
982,5f1bb654896f82cdbda6131d,/entries/nishida-kitaro/,Nishida Kitarō,"Thinker,Japanese Philosophy,Philosophy of Mind, Logic,Metaphysics",Thinker,3.719095933867223
993,5f1baf33896f82cdbda60ed7,/entries/aesthetics-of-everyday/,Aesthetics of the Everyday,Aesthetics and Philosophy of Art,Aesthetics and Philosophy of Art,3.1624305801374373
1009,5f1bb1a9896f82cdbda6102d,/entries/descartes-ethics/,Descartes’ Ethics,"Thinker, Ethics",Ethics,2.084541951562306
1057,5f1bb168896f82cdbda6100e,/entries/culture-cogsci/,Culture and Cognitive Science,"Social and Political Philosophy,Philosophy of Biology",Social and Political Philosophy,2.472204657290289
1067,5f1bb0a2896f82cdbda60fa4,/entries/chinese-translate-interpret/,Translating and Interpreting Chinese Philosophy,"Chinese Philosophy,Philosophy of Language",Chinese Philosophy,2.5148640235631667
1093,5f1bb4ab896f82cdbda611fc,/entries/kyoto-school/,The Kyoto School,"Japanese Philosophy, Metaphysics",Japanese Philosophy,3.295947159163781
1104,5f1bb0c8896f82cdbda60fba,/entries/collingwood/,Robin George Collingwood,"Thinker, Aesthetics and Philosophy of Art, Social and Political Philosophy",Thinker,2.0574101162321874
1113,5f1bb487896f82cdbda611de,/entries/kant-development/,Kant’s Philosophical Development,Thinker,Thinker,2.5060686021536345
1149,5f1bb2b1896f82cdbda610bd,/entries/experimental-philosophy/,Experimental Philosophy,"Epistemology,Philosophy of Science",Epistemology,2.087670658541194
1153,5f1bb2c7896f82cdbda610cb,/entries/femapproach-pragmatism/,Pragmatist Feminism,Feminist Philosophy,Feminist Philosophy,2.0593898036287692
1164,5f1bb2f5896f82cdbda610e8,/entries/feminist-religion/,Feminist Philosophy of Religion,"Feminist Philosophy,Philosophy of Religion",Feminist Philosophy,2.06008143980441
1192,5f1bb23e896f82cdbda6107d,/entries/environmental-aesthetics/,Environmental Aesthetics,Aesthetics and Philosophy of Art,Aesthetics and Philosophy of Art,2.2567808201141912
1228,5f1bb036896f82cdbda60f6c,/entries/brentano/,Franz Brentano,"Thinker,Philosophy of Mind,Continental Philosophy",Thinker,2.0632040753128917
1251,5f1bb309896f82cdbda610f4,/entries/film/,Philosophy of Film,Aesthetics and Philosophy of Art,Aesthetics and Philosophy of Art,2.063885501485123
1268,5f1bb4aa896f82cdbda611fa,/entries/kukai/,Kūkai,"Thinker,Japanese Philosophy",Thinker,3.0102323452387294
1301,5f1bb4b7896f82cdbda61204,/entries/laozi/,Laozi,"Thinker,Chinese Philosophy",Thinker,2.3795928276824467
1360,5f1bb1cb896f82cdbda6103f,/entries/dharmakiirti/,Dharmakīrti,"Thinker,Indian Philosophy",Thinker,2.480791828991248
1425,5f1bb953896f82cdbda614d3,/entries/technology/,Philosophy of Technology,"Philosophy of Science, Social and Political Philosophy",Philosophy of Science,2.080454357357741
1429,5f1bb4bf896f82cdbda61208,/entries/latin-american-philosophy/,Latin American Philosophy,Latin American and Iberian Philosophy,Latin American and Iberian Philosophy,2.0749808780859835
