,_id,page_url,title,domain_tags,primary_domain,score
392,5f1bb3b6896f82cdbda6115a,/entries/herder/,Johann Gottfried von Herder,"Thinker, Philosophy of Language, Social and Political Philosophy",Thinker,2.984702088
746,5f1bb4b0896f82cdbda61200,/entries/lakatos/,Imre Lakatos,"Thinker, Philosophy of Science, Philosophy of Mathematics",Thinker,2.992218206
1121,5f1bb9eb896f82cdbda61530,/entries/william-auvergne/,William of Auvergne,"Thinker,Philosophy of Religion",Thinker,2.994873583
1319,5f1bb68c896f82cdbda61337,/entries/origen/,Origen,"Thinker,Philosophy of Religion",Thinker,2.999262176
1134,5f1bb9e8896f82cdbda6152e,/entries/wilhelm-humboldt/,Wilhelm von Humboldt,"Thinker, Philosophy of Language",Thinker,3.006152552
302,5f1bb575896f82cdbda61285,/entries/maimon/,Salomon Maimon,"Thinker,Jewish Philosophy,Epistemology",Thinker,3.008047812
767,5f1bba0e896f82cdbda61548,/entries/yorck/,Count Paul Yorck von Wartenburg,"Thinker, Social and Political Philosophy",Thinker,3.008992382
997,5f1bb56a896f82cdbda6127b,/entries/ludwig-feuerbach/,Ludwig Andreas Feuerbach,Thinker,Thinker,3.015793612
10,5f1baf26896f82cdbda60ece,/entries/adorno/,Theodor W. Adorno,"Thinker,Continental Philosophy,Social and Political Philosophy",Thinker,3.022850979
212,5f1baf49896f82cdbda60ee4,/entries/al-farabi/,al-Farabi,"Thinker,Arabic and Islamic Philosophy,Logic,Philosophy of Language",Thinker,3.147651876
1063,5f1bb3fe896f82cdbda61181,/entries/ibn-sina/,Ibn Sina [Avicenna],"Thinker,Logic,Metaphysics,Arabic and Islamic Philosophy",Thinker,3.159522518
123,5f1bb3f6896f82cdbda6117c,/entries/ibn-kammuna/,Ibn Kammuna,"Thinker,Jewish Philosophy,Philosophy of Religion",Thinker,3.258896536
352,5f1bb5a6896f82cdbda612ac,/entries/medieval-literary/,Literary Forms of Medieval Philosophy,Aesthetics and Philosophy of Art,Aesthetics and Philosophy of Art,3.261789125
307,5f1bb03b896f82cdbda60f6f,/entries/bruno/,Giordano Bruno,"Thinker,Philosophy of Religion,Metaphysics",Thinker,3.261990173
273,5f1bb70c896f82cdbda6137c,/entries/pico-della-mirandola/,Giovanni Pico della Mirandola,Thinker,Thinker,3.266281333
602,5f1bb665896f82cdbda61326,/entries/numenius/,Numenius,"Thinker, Metaphysics",Thinker,3.332538372
1150,5f1bb854896f82cdbda61434,/entries/roger-bacon/,Roger Bacon,Thinker,Thinker,3.351725133
702,5f1baf2f896f82cdbda60ed4,/entries/aesthetics-18th-german/,18th Century German Aesthetics,Aesthetics and Philosophy of Art,Aesthetics and Philosophy of Art,3.3712609
912,5f1bb578896f82cdbda61287,/entries/maimonides/,Maimonides,"Thinker,Jewish Philosophy",Thinker,3.410926501
700,5f1baf93896f82cdbda60f11,/entries/arabic-islamic-metaphysics/,Arabic and Islamic Metaphysics,"Arabic and Islamic Philosophy,Metaphysics",Arabic and Islamic Philosophy,3.536121901
312,5f1bb2f5896f82cdbda610e8,/entries/feminist-religion/,Feminist Philosophy of Religion,"Feminist Philosophy,Philosophy of Religion",Feminist Philosophy,3.562817082
1044,5f1baf8f896f82cdbda60f0e,/entries/arabic-islamic-influence/,Influence of Arabic and Islamic Philosophy on the Latin West,Arabic and Islamic Philosophy,Arabic and Islamic Philosophy,3.581360106
1475,5f1bb830896f82cdbda6141e,/entries/religion-morality/,Religion and Morality,"Philosophy of Religion,Ethics",Philosophy of Religion,3.601978614
1443,5f1bafd5896f82cdbda60f36,/entries/augustine/,Saint Augustine,"Thinker,Philosophy of Religion",Thinker,3.639919519
1424,5f1bb5b3896f82cdbda612b6,/entries/mendelssohn/,Moses Mendelssohn,"Thinker,Metaphysics,Jewish Philosophy",Thinker,3.673319417
559,5f1baf77896f82cdbda60eff,/entries/ancient-political/,Ancient Political Philosophy,Social and Political Philosophy,Social and Political Philosophy,3.733105544
1441,5f1bb700896f82cdbda61375,/entries/philosophy-religion/,Philosophy of Religion,Philosophy of Religion,Philosophy of Religion,3.745559808
399,5f1bb4ec896f82cdbda6122a,/entries/levinas/,Emmanuel Levinas,"Thinker,Continental Philosophy,Ethics",Thinker,3.759651811
625,5f1bb4e7896f82cdbda61226,/entries/leibowitz-yeshayahu/,Yeshayahu Leibowitz,"Thinker, Jewish Philosophy",Thinker,3.789165601
96,5f1bb49e896f82cdbda611f0,/entries/kaspi-joseph/,Joseph Kaspi,"Thinker, Philosophy of Religion, Logic, Philosophy of Language",Thinker,3.842659859
736,5f1bb0c1896f82cdbda60fb6,/entries/cohen/,Hermann Cohen,"Thinker, Jewish Philosophy,Epistemology,Philosophy of Religion",Thinker,3.892547597
1158,5f1baf52896f82cdbda60eea,/entries/albo-joseph/,Joseph Albo,"Thinker, Jewish Philosophy",Thinker,3.905815262
1103,5f1bb3f4896f82cdbda6117b,/entries/ibn-gabirol/,Solomon Ibn Gabirol [Avicebron],"Thinker,Philosophy of Religion,Jewish Philosophy",Thinker,3.987254132
946,5f1bb859896f82cdbda61437,/entries/rosenzweig/,Franz Rosenzweig,"Thinker,Philosophy of Religion,Jewish Philosophy",Thinker,3.990860279
684,5f1bb6f3896f82cdbda6136e,/entries/philo/,Philo of Alexandria,"Thinker,Jewish Philosophy",Thinker,4.004960729
377,5f1bb87d896f82cdbda6144e,/entries/scholem/,Gershom Scholem,"Thinker,Philosophy of Religion,Jewish Philosophy",Thinker,4.029927795
1385,5f1bb36c896f82cdbda6112f,/entries/gersonides/,Gersonides,"Thinker,Jewish Philosophy",Thinker,4.217212375
1082,5f1bb739896f82cdbda61397,/entries/polqar/,Isaac Polqar,"Thinker,Jewish Philosophy",Thinker,4.247386233
48,5f1bb932896f82cdbda614be,/entries/strauss-leo/,Leo Strauss,"Thinker,Social and Political Philosophy,Jewish Philosophy",Thinker,4.306116092
1473,5f1baf4a896f82cdbda60ee5,/entries/al-ghazali/,al-Ghazali,"Thinker,Arabic and Islamic Philosophy",Thinker,4.336749054
1224,5f1bb7ac896f82cdbda613d4,/entries/pythagoreanism/,Pythagoreanism,Philosophy of Mathematics,Philosophy of Mathematics,4.345711955
5,5f1bb19a896f82cdbda61024,/entries/delmedigo/,Elijah Delmedigo,"Thinker,Jewish Philosophy,Philosophy of Religion",Thinker,4.420670045
580,5f7678c0038c9c30f78468e9,/entries/albalag/,Isaac Albalag,"Thinker,Jewish Philosophy",Thinker,4.472619494
632,5f1bb91f896f82cdbda614b1,/entries/spinoza/,Baruch Spinoza,"Thinker,Jewish Philosophy",Thinker,4.477156211
102,5f1bb577896f82cdbda61286,/entries/maimonides-islamic/,The Influence of Islamic Thought on Maimonides,"Thinker,Arabic and Islamic Philosophy, Jewish Philosophy",Arabic and Islamic Philosophy,4.505880242
208,5f1bb3f8896f82cdbda6117d,/entries/ibn-rushd-natural/,Ibn Rushd’s Natural Philosophy,"Thinker,Arabic and Islamic Philosophy",Thinker,4.584429567
758,5f1baf12896f82cdbda60ec5,/entries/abrabanel/,Judah Abrabanel,"Thinker,Jewish Philosophy",Thinker,4.593708969
411,5f1bb455896f82cdbda611b8,/entries/israeli/,Isaac Israeli,"Thinker,Jewish Philosophy",Thinker,4.661568393
164,5f1baf11896f82cdbda60ec4,/entries/abner-burgos/,Abner of Burgos,"Thinker,Philosophy of Religion,Jewish Philosophy",Thinker,4.681333643
510,5f1bb15e896f82cdbda61009,/entries/crescas/,Hasdai Crescas,"Thinker,Jewish Philosophy",Thinker,4.717476018
1274,5f1baf13896f82cdbda60ec6,/entries/abraham-daud/,Abraham Ibn Daud,"Thinker,Jewish Philosophy",Thinker,4.751313533
1332,5f1bb96e896f82cdbda614e5,/entries/tibbon/,Samuel Ibn Tibbon,"Thinker,Jewish Philosophy",Thinker,4.784239327
707,5f1bb3f3896f82cdbda6117a,/entries/ibn-ezra/,Abraham Ibn Ezra,"Thinker,Jewish Philosophy",Thinker,4.954803367
265,5f1bb2ba896f82cdbda610c1,/entries/falaquera/,Shem Tov Ibn Falaquera,"Thinker, Jewish Philosophy",Thinker,4.984071976
1400,5f1bb38f896f82cdbda61145,/entries/halevi/,Judah Halevi,"Thinker,Jewish Philosophy",Thinker,5.254788061
766,5f1bb045896f82cdbda60f70,/entries/buber/,Martin Buber,"Thinker,Jewish Philosophy,Ethics,Continental Philosophy",Thinker,5.628625188
816,5f1baf91896f82cdbda60f0f,/entries/arabic-islamic-judaic/,Influence of Arabic and Islamic Philosophy on Judaic Thought,"Arabic and Islamic Philosophy, Jewish Philosophy",Arabic and Islamic Philosophy,5.965026614
