,_id,page_url,title,domain_tags,primary_domain,score
500,5f1bb274896f82cdbda61099,/entries/erfurt/,Thomas of Erfurt,Thinker,Thinker,4.795740792
404,5f1bb56d896f82cdbda6127e,/entries/lvov-warsaw/,Lvov-Warsaw School,"Logic,Epistemology,Philosophy of Science",Logic,4.799010029
1520,5f1bb61f896f82cdbda612fb,/entries/names/,Names,"Logic,Philosophy of Language",Philosophy of Language,4.804707744
355,5f1bb4bc896f82cdbda61206,/entries/latin-american-analytic/,Analytic Philosophy in Latin America,Latin American and Iberian Philosophy,Latin American and Iberian Philosophy,4.811653735
1559,5f1bb2c7896f82cdbda610cb,/entries/femapproach-pragmatism/,Pragmatist Feminism,Feminist Philosophy,Feminist Philosophy,4.817294299
1435,5f1bb55a896f82cdbda61270,/entries/logical-empiricism/,Logical Empiricism,"Logic,Epistemology,Philosophy of Language",Logic,4.830871937
748,5f1bb533896f82cdbda61258,/entries/logic-informal/,Informal Logic,Logic,Logic,4.850755119
328,5f1bafd5896f82cdbda60f36,/entries/augustine/,Saint Augustine,"Thinker,Philosophy of Religion",Thinker,4.860101694
196,5f1bb134896f82cdbda60ff2,/entries/contextualism-epistemology/,Epistemic Contextualism,Epistemology,Epistemology,4.877872159
1593,5f1bb8d3896f82cdbda61483,/entries/singular-terms-medieval/,Medieval Theories of Singular Terms,"Metaphysics, Philosophy of Language",Metaphysics,4.881033982
1390,5f1bb5f2896f82cdbda612e4,/entries/moral-cognitivism/,Moral Cognitivism vs. Non-Cognitivism,Ethics,Ethics,4.881678909
400,5f1bb163896f82cdbda6100b,/entries/critical-theory/,Critical Theory,"Social and Political Philosophy,Continental Philosophy",Continental Philosophy,4.889654909
1108,5f1bb9d4896f82cdbda61523,/entries/walter-chatton/,Walter Chatton,"Thinker,Philosophy of Religion, Metaphysics",Thinker,4.928579656
1206,5f1bb29e896f82cdbda610b3,/entries/evidence/,Evidence,"Epistemology,Philosophy of Science",Epistemology,4.929770871
