,_id,page_url,title,domain_tags,primary_domain,score
94,5f1bb9e8896f82cdbda6152e,/entries/wilhelm-humboldt/,Wilhelm von Humboldt,"Thinker, Philosophy of Language",Thinker,5.26830776
475,5f1bb4bc896f82cdbda61206,/entries/latin-american-analytic/,Analytic Philosophy in Latin America,Latin American and Iberian Philosophy,Latin American and Iberian Philosophy,5.375562248
1232,5f1bb6ff896f82cdbda61374,/entries/philosophy-mexico/,Philosophy in Mexico,Latin American and Iberian Philosophy,Latin American and Iberian Philosophy,5.561937913
614,5f1bb7e8896f82cdbda613f6,/entries/race/,Race,"Social and Political Philosophy,Philosophy of Biology,African and African-American Philosophy",Social and Political Philosophy,5.731407291
1501,5f1bb8d9896f82cdbda61488,/entries/skepticism-latin-america/,Skepticism in Latin America,"Latin American and Iberian Philosophy, Epistemology",Latin American and Iberian Philosophy,5.743673316
531,5f1baf7d896f82cdbda60f03,/entries/anna-julia-cooper/,Anna Julia Cooper,"Thinker,Social and Political Philosophy, African and African-American Philosophy,Feminist Philosophy",Thinker,5.920640411
1126,5f1bb6ec896f82cdbda6136a,/entries/phil-science-latin-america/,Philosophy of Science in Latin America,"Latin American and Iberian Philosophy, Philosophy of Science",Latin American and Iberian Philosophy,5.99190576
1457,5f1bb6f9896f82cdbda61372,/entries/philosophy-chile/,Philosophy in Chile,Latin American and Iberian Philosophy,Latin American and Iberian Philosophy,6.103150327
1194,5f1bb86c896f82cdbda61443,/entries/santayana/,George Santayana,"Thinker,Aesthetics and Philosophy of Art",Thinker,6.192171888
806,5f1bb259896f82cdbda6108d,/entries/epistemology-latin-america/,Epistemology in Latin America,Epistemology,Epistemology,6.362058116
675,5f1bb2dd896f82cdbda610d8,/entries/feminism-latin-america/,Latin American Feminism,"Latin American and Iberian Philosophy, Feminist Philosophy",Latin American and Iberian Philosophy,6.61429466
690,5f1bb4c0896f82cdbda61209,/entries/latinx/,Latinx Philosophy,Latin American and Iberian Philosophy,Latin American and Iberian Philosophy,6.901690246
1087,5f1bb4f1896f82cdbda6122e,/entries/liberalism-latin-america/,Liberalism in Latin America,"Social and Political Philosophy, Latin American and Iberian Philosophy",Latin American and Iberian Philosophy,7.026405654
717,5f1bb4f4896f82cdbda61230,/entries/liberation/,Philosophy of Liberation,"Social and Political Philosophy, Latin American and Iberian Philosophy",Latin American and Iberian Philosophy,7.123184608
152,5f1bb4be896f82cdbda61207,/entries/latin-american-metaphilosophy/,Latin American Philosophy: Metaphilosophical Foundations,Latin American and Iberian Philosophy,Latin American and Iberian Philosophy,7.630823126
1075,5f1bb4bf896f82cdbda61208,/entries/latin-american-philosophy/,Latin American Philosophy,Latin American and Iberian Philosophy,Latin American and Iberian Philosophy,9.879818327
