,_id,page_url,title,domain_tags,primary_domain,score
356,5f1bb96a896f82cdbda614e2,/entries/thomas-more/,Thomas More,"Thinker,Social and Political Philosophy",Thinker,3.505417269
734,5f1bb182896f82cdbda61019,/entries/death-definition/,The Definition of Death,Philosophy of Biology,Philosophy of Biology,3.505798875
185,5f1bb4b0896f82cdbda61200,/entries/lakatos/,Imre Lakatos,"Thinker, Philosophy of Science, Philosophy of Mathematics",Thinker,3.508012436
300,5f1bb3e8896f82cdbda61173,/entries/hume-religion/,Hume on Religion,"Thinker,Philosophy of Religion",Philosophy of Religion,3.508882377
317,5f1baf55896f82cdbda60eed,/entries/alexander-crummell/,Alexander Crummell,"Thinker,Social and Political Philosophy,African and African-American Philosophy",Thinker,3.51014274
1617,5f1bb578896f82cdbda61287,/entries/maimonides/,Maimonides,"Thinker,Jewish Philosophy",Thinker,3.51239355
121,5f1bb6f3896f82cdbda6136e,/entries/philo/,Philo of Alexandria,"Thinker,Jewish Philosophy",Thinker,3.512962838
349,5f1bb356896f82cdbda61123,/entries/gasset/,José Ortega y Gasset,"Thinker,Social and Political Philosophy,Continental Philosophy",Thinker,3.513798224
1520,5f1bb46e896f82cdbda611cc,/entries/john-salisbury/,John of Salisbury,"Thinker, Social and Political Philosophy",Thinker,3.515255913
1504,5f1baf43896f82cdbda60ee0,/entries/al-baghdadi/,‘Abd al-Latif al-Baghdadi,"Thinker,Arabic and Islamic Philosophy",Thinker,3.517624051
70,5f1bb934896f82cdbda614bf,/entries/strawson/,Peter Frederick Strawson,"Thinker, Philosophy of Language, Epistomology, Metaphysics",Thinker,3.517778274
917,5f1bb77b896f82cdbda613bb,/entries/promises/,Promises,Ethics,Ethics,3.51803306
75,5f1bb436896f82cdbda611a2,/entries/information/,Information,"Epistemology, Philosophy of Computer Science",Epistemology,3.518600476
737,5f1bb255896f82cdbda6108b,/entries/epistemology-india/,Epistemology in Classical Indian Philosophy,"Indian Philosophy,Epistemology",Indian Philosophy,3.51943196
929,5f1bb58a896f82cdbda61296,/entries/marx/,Karl Marx,"Thinker,Social and Political Philosophy,Philosopy of Economics",Thinker,3.521284372
472,5f1bb252896f82cdbda61088,/entries/epistemology-bayesian/,Bayesian Epistemology,Epistemology,Epistemology,3.522570599
1141,5f1bb96d896f82cdbda614e4,/entries/thought-experiment/,Thought Experiments,"Philosophy of Science,Epistemology",Philosophy of Science,3.522580036
685,5f1bb865896f82cdbda6143f,/entries/ryle/,Gilbert Ryle,"Thinker,Philosophy of Mind,Philosophy of Language",Thinker,3.534308554
95,5f1bb3e7896f82cdbda61172,/entries/hume-newton/,Hume’s Newtonianism and Anti-Newtonianism,"Thinker,Philosophy of Science",Philosophy of Science,3.537503888
1293,5f1bb3a4896f82cdbda61151,/entries/hegel/,Georg Wilhelm Friedrich Hegel,"Thinker,Continental Philosophy,Metaphysics,Social and Political Philosophy",Thinker,3.537777116
146,5f1bb460896f82cdbda611c1,/entries/japanese-philosophy/,Japanese Philosophy,Japanese Philosophy,Japanese Philosophy,3.54439849
1439,5f1bb068896f82cdbda60f83,/entries/cassirer/,Ernst Cassirer,"Thinker,Philosophy of Mathematics,Philosophy of Science,Social and Political Philosophy",Thinker,3.545869604
1047,5f1bb214896f82cdbda61068,/entries/economics/,Philosophy of Economics,Philosophy of Economics,Philosophy of Economics,3.554699685
638,5f1bb932896f82cdbda614be,/entries/strauss-leo/,Leo Strauss,"Thinker,Social and Political Philosophy,Jewish Philosophy",Thinker,3.555180339
978,5f1bb4bc896f82cdbda61206,/entries/latin-american-analytic/,Analytic Philosophy in Latin America,Latin American and Iberian Philosophy,Latin American and Iberian Philosophy,3.558025641
941,5f1bb090896f82cdbda60f98,/entries/childhood/,The Philosophy of Childhood,"Philosophy of Biology, Philosophy of Mind",Philosophy of Biology,3.55869949
950,5f1bb9e5896f82cdbda6152c,/entries/whewell/,William Whewell,"Thinker, Philosophy of Science",Thinker,3.56560154
837,5f1bb967896f82cdbda614e0,/entries/thick-ethical-concepts/,Thick Ethical Concepts,Ethics,Ethics,3.584346739
772,5f1bb160896f82cdbda6100a,/entries/criminal-law/,Theories of Criminal Law,Philosophy of Law,Philosophy of Law,3.605815708
513,5f1bb559896f82cdbda6126f,/entries/logical-construction/,Logical Constructions,Logic,Logic,3.636352133
925,5f1bafd5896f82cdbda60f36,/entries/augustine/,Saint Augustine,"Thinker,Philosophy of Religion",Thinker,3.637964901
274,5f1bb9cb896f82cdbda6151d,/entries/vienna-circle/,Vienna Circle,"Logic,Philosophy of Language,Philosophy of Science, Epistemology",Logic,3.640320831
965,5f1baf4a896f82cdbda60ee5,/entries/al-ghazali/,al-Ghazali,"Thinker,Arabic and Islamic Philosophy",Thinker,3.643839143
1285,5f1bb862896f82cdbda6143d,/entries/russell/,Bertrand Russell,"Thinker,Logic,Philosophy of Mathematics,Metaphysics",Thinker,3.644986198
922,5f1bb033896f82cdbda60f6a,/entries/bradley/,Francis Herbert Bradley,"Thinker,Metaphysics",Thinker,3.645570628
785,5f1bb291896f82cdbda610ab,/entries/ethics-pregnancy/,"Pregnancy, Birth, and Medicine",Philosophy of Biology,Philosophy of Biology,3.647806727
