,_id,page_url,title,domain_tags,primary_domain,score
1439,5f1bb90b896f82cdbda614a6,/entries/spacetime-theories/,Absolute and Relational Theories of Space and Motion,Philosophy of Physics,Philosophy of Physics,2.484859279
159,5f1bafd1896f82cdbda60f34,/entries/attention/,Attention,Philosophy of Mind,Philosophy of Mind,2.484870823
949,5f1bb3a7896f82cdbda61153,/entries/heidegger/,Martin Heidegger,"Thinker,Continental Philosophy",Thinker,2.48494845
1407,5f1bb12f896f82cdbda60fef,/entries/content-narrow/,Narrow Mental Content,Philosophy of Mind,Philosophy of Mind,2.485326755
301,5f1bb498896f82cdbda611ec,/entries/kant-transcendental-idealism/,Kant’s Transcendental Idealism,Thinker,Metaphysics,2.485850474
1530,5f1bb898896f82cdbda6145e,/entries/scientific-reduction/,Scientific Reduction,Philosophy of Science,Philosophy of Science,2.486271505
1441,5f7678d9038c9c30f784690e,/entries/divine-revelation/,Divine Revelation,"Philosophy of Religion,Epistemology",Philosophy of Religion,2.486313392
880,5f1bb4a6896f82cdbda611f6,/entries/knowledge-how/,Knowledge How,Epistemology,Epistemology,2.486360343
376,5f1bb0fb896f82cdbda60fd4,/entries/condillac/,Étienne Bonnot de Condillac,Thinker,Thinker,2.487034163
1017,5f1bb0da896f82cdbda60fc2,/entries/compatibilism/,Compatibilism,Philosophy of Mind,Philosophy of Mind,2.487396817
1232,5f1bb78a896f82cdbda613c1,/entries/properties/,Properties,Metaphysics,Metaphysics,2.48766434
640,5f1baf10896f82cdbda60ec3,/entries/abilities/,Abilities,Philosophy of Mind,Philosophy of Mind,2.487707097
869,5f1bb137896f82cdbda60ff3,/entries/continental-rationalism/,Continental Rationalism,Metaphysics,Metaphysics,2.488019657
941,5f1bb4d9896f82cdbda6121d,/entries/leibniz-causation/,Leibniz on Causation,"Thinker,Metaphysics",Metaphysics,2.489751586
1050,5f1bb76e896f82cdbda613b4,/entries/probability-interpret/,Interpretations of Probability,Philosophy of Mathematics,Philosophy of Mathematics,2.490300038
938,5f1bb117896f82cdbda60fe2,/entries/consciousness-temporal/,Temporal Consciousness,Philosophy of Mind,Philosophy of Mind,2.491060263
808,5f1bb42d896f82cdbda6119c,/entries/indexicals/,Indexicals,Philosophy of Language,Philosophy of Language,2.49140121
888,5f1bb54a896f82cdbda61266,/entries/logic-power-games/,Logics for Analyzing Power in Normal Form Games,"Logic,Philosophy of Economics",Logic,2.492328811
1176,5f1bb168896f82cdbda6100e,/entries/culture-cogsci/,Culture and Cognitive Science,"Social and Political Philosophy,Philosophy of Biology",Social and Political Philosophy,2.493720614
1157,5f1bb792896f82cdbda613c5,/entries/propositions-singular/,Singular Propositions,Logic,Logic,2.494619618
1352,5f1bb0e5896f82cdbda60fc8,/entries/computational-mind/,The Computational Theory of Mind,"Philosophy of Mind,Philosophy of Computer Science",Philosophy of Mind,2.494687712
615,5f1bb887896f82cdbda61455,/entries/science-mechanisms/,Mechanisms in Science,Philosophy of Science,Philosophy of Science,2.495597856
237,5f1bb8e6896f82cdbda6148e,/entries/social-choice/,Social Choice Theory,Social and Political Philosophy,Social and Political Philosophy,2.495675088
495,5f1bba15896f82cdbda6154b,/entries/zermelo-set-theory/,Zermelo’s Axiomatization of Set Theory,"Thinker,Philosophy of Mathematics",Philosophy of Mathematics,2.496182828
1521,5f1baf2f896f82cdbda60ed4,/entries/aesthetics-18th-german/,18th Century German Aesthetics,Aesthetics and Philosophy of Art,Aesthetics and Philosophy of Art,2.496957853
135,5f1bb40f896f82cdbda6118a,/entries/identity/,Identity,Metaphysics,Metaphysics,2.498000695
894,5f1bb182896f82cdbda61019,/entries/death-definition/,The Definition of Death,Philosophy of Biology,Philosophy of Biology,2.498410832
180,5f1bb434896f82cdbda611a1,/entries/information-semantic/,Semantic Conceptions of Information,Philosophy of Language,Philosophy of Language,2.500384241
594,5f1bb98a896f82cdbda614f5,/entries/trinity/,Trinity,Philosophy of Religion,Philosophy of Religion,2.500464559
296,5f1bb6d1896f82cdbda6135a,/entries/perception-problem/,The Problem of Perception,"Philosophy of Mind,Philosophy of Biology",Philosophy of Mind,2.500553681
258,5f7678ef038c9c30f784692e,/entries/luther/,Martin Luther,"Thinker,Philosophy of Religion",Thinker,2.500889094
1019,5f1bb975896f82cdbda614e9,/entries/time-travel-phys/,Time Travel and Modern Physics,Philosophy of Physics,Philosophy of Physics,2.501388429
