,_id,page_url,title,domain_tags,primary_domain,score
1232,5f1bb969896f82cdbda614e1,/entries/thomas-kuhn/,Thomas Kuhn,"Thinker,Philosophy of Science",Thinker,3.24507859
891,5f1bb649896f82cdbda61315,/entries/newton-principia/,Newton’s Philosophiae Naturalis Principia Mathematica,"Thinker,Philosophy of Physics",Philosophy of Physics,3.250405097
1281,5f1bb9a8896f82cdbda61507,/entries/turing/,Alan Turing,"Thinker,Philosophy of Computer Science,Philosophy of Mathematics",Thinker,3.252041993
169,5f1bb434896f82cdbda611a1,/entries/information-semantic/,Semantic Conceptions of Information,Philosophy of Language,Philosophy of Language,3.252605328
1553,5f1bb7dd896f82cdbda613f1,/entries/quantum-gravity/,Quantum Gravity,Philosophy of Physics,Philosophy of Physics,3.253357756
224,5f1bb549896f82cdbda61265,/entries/logic-paraconsistent/,Paraconsistent Logic,Logic,Logic,3.253919511
450,5f1bba15896f82cdbda6154b,/entries/zermelo-set-theory/,Zermelo’s Axiomatization of Set Theory,"Thinker,Philosophy of Mathematics",Philosophy of Mathematics,3.255810226
201,5f1bb70b896f82cdbda6137b,/entries/physics-structuralism/,Structuralism in Physics,Philosophy of Physics,Philosophy of Physics,3.258265909
1227,5f1bb851896f82cdbda61432,/entries/risk/,Risk,"Ethics,Epistemology, Philosophy of Science, Philosophy of Economics",Ethics,3.262407631
53,5f1bb551896f82cdbda6126a,/entries/logic-substructural/,Substructural Logics,Logic,Logic,3.262650848
1415,5f1bb934896f82cdbda614bf,/entries/strawson/,Peter Frederick Strawson,"Thinker, Philosophy of Language, Epistomology, Metaphysics",Thinker,3.26706358
1016,5f1bb349896f82cdbda6111c,/entries/galileo/,Galileo Galilei,"Thinker,Philosophy of Physics",Thinker,3.267950336
659,5f1bb94e896f82cdbda614cf,/entries/systems-synthetic-biology/,Philosophy of Systems and Synthetic Biology,"Philosophy of Science,Philosophy of Biology",Philosophy of Biology,3.26869353
1410,5f1bafd3896f82cdbda60f35,/entries/august-rehberg/,August Wilhelm Rehberg,"Thinker,Social and Political Philosophy",Thinker,3.271767954
573,5f1bb94c896f82cdbda614ce,/entries/syrianus/,Syrianus,Thinker,Thinker,3.275204895
171,5f1bb0a7896f82cdbda60fa7,/entries/church-turing/,The Church-Turing Thesis,Philosophy of Computer Science,Philosophy of Computer Science,3.277535839
1493,5f1bb9f9896f82cdbda61539,/entries/wittgenstein-aesthetics/,Wittgenstein’s Aesthetics,"Thinker,Aesthetics and Philosophy of Art",Aesthetics and Philosophy of Art,3.282397292
1519,5f1bb6ff896f82cdbda61374,/entries/philosophy-mexico/,Philosophy in Mexico,Latin American and Iberian Philosophy,Latin American and Iberian Philosophy,3.295965139
419,5f1bb4fb896f82cdbda61235,/entries/linguistics/,Philosophy of Linguistics,Philosophy of Language,Philosophy of Language,3.303816426
56,5f1bb100896f82cdbda60fd6,/entries/confirmation/,Confirmation,"Epistemology,Logic",Epistemology,3.314606912
258,5f1bb59e896f82cdbda612a6,/entries/measurement-science/,Measurement in Science,Philosophy of Science,Philosophy of Science,3.317292874
