,_id,page_url,title,domain_tags,primary_domain,score
53,5f1baffc896f82cdbda60f4c,/entries/bell-theorem/,Bell’s Theorem,Philosophy of Physics,Philosophy of Physics,2.374120704
673,5f1bb08e896f82cdbda60f97,/entries/chemistry/,Philosophy of Chemistry,Philosophy of Science,Philosophy of Science,2.376132721
597,5f1bb646896f82cdbda61312,/entries/neuroscience/,The Philosophy of Neuroscience,Philosophy of Biology,Philosophy of Biology,2.376515338
150,5f1bb3f8896f82cdbda6117d,/entries/ibn-rushd-natural/,Ibn Rushd’s Natural Philosophy,"Thinker,Arabic and Islamic Philosophy,Metaphysics",Metaphysics,2.378739014
110,5f1bb146896f82cdbda60ffb,/entries/convention/,Convention,Social and Political Philosophy,Social and Political Philosophy,2.379110678
1183,5f1bb9be896f82cdbda61515,/entries/vaihinger/,Hans Vaihinger,"Thinker, Epistemology, Philosophy of Science, Philosophy of Mathematics",Thinker,2.379584029
322,5f1bb05b896f82cdbda60f7b,/entries/cambridge-platonists/,The Cambridge Platonists,Metaphysics,Metaphysics,2.379713955
421,5f1bb91f896f82cdbda614b1,/entries/spinoza/,Baruch Spinoza,"Thinker,Jewish Philosophy,Metaphysics,Social and Political Philosophy",Thinker,2.379742471
1228,5f1bb4ff896f82cdbda61238,/entries/location-mereology/,Location and Mereology,Metaphysics,Metaphysics,2.380647795
849,5f1bb37a896f82cdbda61138,/entries/goodman-aesthetics/,Goodman’s Aesthetics,"Thinker,Aesthetics and Philosophy of Art",Aesthetics and Philosophy of Art,2.380916399
995,5f1bb8ca896f82cdbda6147e,/entries/sidney-hook/,Sidney Hook,"Thinker,Epistemology,Social and Political Philosophy,Ethics",Thinker,2.381831223
299,5f1bb4b4896f82cdbda61202,/entries/language-india/,Language and Testimony in Classical Indian Philosophy,"Indian Philosophy,Philosophy of Language, Philosopy of Law",Indian Philosophy,2.382066137
394,5f1bb6dc896f82cdbda61360,/entries/personalism/,Personalism,"Philosophy of Mind,Ethics,Social and Political Philosophy",Philosophy of Mind,2.384018143
559,5f1bb87e896f82cdbda6144f,/entries/scholz/,Heinrich Scholz,"Thinker,Logic,Philosophy of Language",Thinker,2.387252722
262,5f1bb401896f82cdbda61183,/entries/identity-ethics/,Personal Identity and Ethics,"Philosophy of Mind,Ethics",Philosophy of Mind,2.391095898
991,5f1bb822896f82cdbda61418,/entries/reism/,Reism,Metaphysics,Metaphysics,2.391934135
1306,5f1bb404896f82cdbda61184,/entries/identity-indiscernible/,The Identity of Indiscernibles,Logic,Logic,2.394327494
793,5f1bba0b896f82cdbda61545,/entries/xenocrates/,Xenocrates,"Thinker, Metaphysics",Thinker,2.394944251
721,5f1bb494896f82cdbda611e9,/entries/kant-science/,Kant’s Philosophy of Science,"Thinker,Philosophy of Science",Philosophy of Science,2.395376539
337,5f1bb997896f82cdbda614fd,/entries/truth-pluralist/,Pluralist Theories of Truth,Epistemology,Epistemology,2.40766581
423,5f1bb3ae896f82cdbda61157,/entries/henry-ghent/,Henry of Ghent,"Thinker,Metaphysics,Philosophy of Religion",Thinker,2.412799502
722,5f1bb0e6896f82cdbda60fc9,/entries/computational-philosophy/,Computational Philosophy,Philosophy of Computer Science,Philosophy of Computer Science,2.413803626
1209,5f1bb7e8896f82cdbda613f6,/entries/race/,Race,"Social and Political Philosophy,Philosophy of Biology,African and African-American Philosophy",Social and Political Philosophy,2.424291815
256,5f1bb81b896f82cdbda61413,/entries/reichenbach/,Hans Reichenbach,"Thinker, Philosophy of Science, Epistemology",Thinker,2.433363266
640,5f1bb303896f82cdbda610f0,/entries/fictionalism-mathematics/,Fictionalism in the Philosophy of Mathematics,Philosophy of Mathematics,Philosophy of Mathematics,2.436561697
1077,5f1bb8cf896f82cdbda61480,/entries/simone-weil/,Simone Weil,"Thinker,Continental Philosophy,Social and Political Philosophy, Ethics",Thinker,2.437319715
284,5f1bb348896f82cdbda6111b,/entries/galen/,Galen,"Thinker, Logic, Epistemology, Philosophy of Biology",Thinker,2.440304139
634,5f1bb0a2896f82cdbda60fa4,/entries/chinese-translate-interpret/,Translating and Interpreting Chinese Philosophy,"Chinese Philosophy,Philosophy of Language",Chinese Philosophy,2.440513965
