,_id,page_url,title,domain_tags,primary_domain,score
484,5f1baf86896f82cdbda60f09,/entries/apriori/,A Priori Justification and Knowledge,Epistemology,Epistemology,6.873323216
1300,5f1bb60a896f82cdbda612f0,/entries/moral-responsibility-epistemic/,The Epistemic Condition for Moral Responsibility,"Epistemology,Ethics",Epistemology,6.87429677
748,5f1bba06896f82cdbda61542,/entries/wright/,Chauncey Wright,"Thinker, Philosophy of Science",Thinker,6.878427963
1590,5f1bb2eb896f82cdbda610e1,/entries/feminism-self/,Feminist Perspectives on the Self,"Feminist Philosophy,Philosophy of Mind",Feminist Philosophy,6.880342961
685,5f1baf55896f82cdbda60eed,/entries/alexander-crummell/,Alexander Crummell,"Thinker,Social and Political Philosophy,African and African-American Philosophy",Thinker,6.88224807
1225,5f1bb8ca896f82cdbda6147e,/entries/sidney-hook/,Sidney Hook,"Thinker,Epistemology,Social and Political Philosophy,Ethics",Thinker,6.885787691
930,5f1bb0e6896f82cdbda60fc9,/entries/computational-philosophy/,Computational Philosophy,Philosophy of Computer Science,Philosophy of Computer Science,6.888293391
907,5f1bb20d896f82cdbda61065,/entries/early-modern-india/,Analytic Philosophy in Early Modern India,"Indian Philosophy,Logic,Philosophy of Language",Indian Philosophy,6.889925399
228,5f1bafb7896f82cdbda60f28,/entries/arnauld/,Antoine Arnauld,"Thinker,Philosophy of Religion",Thinker,6.890741479
381,5f1bb953896f82cdbda614d3,/entries/technology/,Philosophy of Technology,"Philosophy of Science, Social and Political Philosophy",Philosophy of Science,6.89706584
1592,5f1bb70e896f82cdbda6137d,/entries/pineal-gland/,Descartes and the Pineal Gland,"Thinker, Philosophy of Mind",Philosophy of Mind,6.905075663
1020,5f1bb0d0896f82cdbda60fbd,/entries/color/,Color,"Philosophy of Mind,Philosophy of Biology",Philosophy of Mind,6.914239636
336,5f1bb9b6896f82cdbda61510,/entries/types-tokens/,Types and Tokens,"Metaphysics, Philosophy of Language",Metaphysics,6.923445445
966,5f1bb406896f82cdbda61185,/entries/identity-personal/,Personal Identity,Philosophy of Mind,Philosophy of Mind,6.928904335
1099,5f1bb613896f82cdbda612f5,/entries/mulla-sadra/,Mulla Sadra,"Thinker,Arabic and Islamic Philosophy",Thinker,6.936568815
619,5f1baf33896f82cdbda60ed7,/entries/aesthetics-of-everyday/,Aesthetics of the Everyday,Aesthetics and Philosophy of Art,Aesthetics and Philosophy of Art,6.944867568
1263,5f1bafb3896f82cdbda60f25,/entries/aristotle-psychology/,Aristotle’s Psychology,"Thinker,Philosophy of Mind",Philosophy of Mind,6.950888973
1665,5f1bb1b1896f82cdbda61031,/entries/descartes-ontological/,Descartes’ Ontological Argument,"Thinker,Metaphysics",Philosophy of Religion,6.956363068
1199,5f1bb82b896f82cdbda6141c,/entries/reliabilism/,Reliabilist Epistemology,Epistemology,Epistemology,6.962981866
1629,5f1bb28a896f82cdbda610a7,/entries/ethics-indian-buddhism/,Ethics in Indian and Tibetan Buddhism,"Ethics,Philosophy of Religion, Indian Philosophy, Chinese Philosophy",Ethics,6.963537821
1018,5f1bb931896f82cdbda614bd,/entries/stoicism/,Stoicism,"Ethics,Social and Political Philosophy",Ethics,6.980133846
1473,5f1bb9be896f82cdbda61515,/entries/vaihinger/,Hans Vaihinger,"Thinker, Epistemology, Philosophy of Science, Philosophy of Mathematics",Thinker,6.9879554
781,5f1bb852896f82cdbda61433,/entries/robert-kilwardby/,Robert Kilwardby,Thinker,Thinker,6.99232873
227,5f1bb81c896f82cdbda61414,/entries/reid-ethics/,Reid’s Ethics,"Thinker,Ethics",Ethics,6.998337871
802,5f1bb878896f82cdbda6144b,/entries/schleiermacher/,Friedrich Daniel Ernst Schleiermacher,"Thinker, Philosophy of Religion, Philosophy of Language",Thinker,7.00226417
860,5f1bb854896f82cdbda61434,/entries/roger-bacon/,Roger Bacon,"Thinker,Philosophy of Language, Philosophy of Religion",Thinker,7.004519235
1079,5f1bb37a896f82cdbda61138,/entries/goodman-aesthetics/,Goodman’s Aesthetics,"Thinker,Aesthetics and Philosophy of Art",Aesthetics and Philosophy of Art,7.007333645
1114,5f1bba01896f82cdbda6153e,/entries/wolff-christian/,Christian Wolff,"Thinker,Philosophy of Science, Logic, Metaphysics",Thinker,7.009067503
1360,5f1baf89896f82cdbda60f0b,/entries/aquinas/,Saint Thomas Aquinas,"Thinker,Philosophy of Religion,Logic",Thinker,7.011579625
1213,5f1bb28f896f82cdbda610aa,/entries/ethics-manipulation/,The Ethics of Manipulation,Ethics,Ethics,7.01388148
706,5f1bb45b896f82cdbda611bd,/entries/james-ward/,James Ward,"Thinker, Metaphysics",Thinker,7.023891207
969,5f1baf8f896f82cdbda60f0e,/entries/arabic-islamic-influence/,Influence of Arabic and Islamic Philosophy on the Latin West,Arabic and Islamic Philosophy,Arabic and Islamic Philosophy,7.029326448
1380,5f1bb4ab896f82cdbda611fb,/entries/kumaarila/,Kumārila,"Thinker,Indian Philosophy",Thinker,7.030536713
981,5f1bb5a2896f82cdbda612a9,/entries/medieval-emotions/,Medieval Theories of the Emotions,Philosophy of Mind,Philosophy of Mind,7.03153054
1363,5f1bb446896f82cdbda611ae,/entries/intention/,Intention,"Philosophy of Mind,Ethics",Philosophy of Mind,7.0425699
325,5f1bb626896f82cdbda612ff,/entries/natural-kinds/,Natural Kinds,"Metaphysics,Philosophy of Physics",Metaphysics,7.045076929
1484,5f1bb9e7896f82cdbda6152d,/entries/whitehead/,Alfred North Whitehead,"Thinker,Logic,Philosophy of Mathematics,Metaphysics",Thinker,7.049615304
150,5f1bb651896f82cdbda6131b,/entries/nietzsche-moral-political/,Nietzsche’s Moral and Political Philosophy,"Thinker,Social and Political Philosophy,Continental Philosophy",Social and Political Philosophy,7.049913824
946,5f1bb923896f82cdbda614b4,/entries/sriharsa/,Śrīharṣa,"Thinker,Indian Philosophy",Thinker,7.067753062
191,5f1bb309896f82cdbda610f4,/entries/film/,Philosophy of Film,Aesthetics and Philosophy of Art,Aesthetics and Philosophy of Art,7.073933848
304,5f1bb265896f82cdbda61091,/entries/epistemology-visual-thinking/,The Epistemology of Visual Thinking in Mathematics,"Epistemology,Philosophy of Mathematics",Epistemology,7.075639209
1657,5f1bb9a3896f82cdbda61504,/entries/tsongkhapa/,Tsongkhapa,"Thinker,Indian Philosophy, Chinese Philosophy",Thinker,7.078536372
1157,5f1bb5c7896f82cdbda612c5,/entries/mill-moral-political/,Mill’s Moral and Political Philosophy,"Thinker,Social and Political Philosophy",Social and Political Philosophy,7.083895704
962,5f1bb56a896f82cdbda6127b,/entries/ludwig-feuerbach/,Ludwig Andreas Feuerbach,"Thinker,Social and Political Philosophy",Thinker,7.087682792
596,5f1bb1da896f82cdbda6104a,/entries/disability-critical/,Critical Disability Theory,Social and Political Philosophy,Social and Political Philosophy,7.092104952
1628,5f1bb56b896f82cdbda6127c,/entries/lukacs/,Georg [György] Lukács,"Thinker,Continental Philosophy,Social and Political Philosophy,Philosophy of Economics",Thinker,7.094810503
486,5f1bb91f896f82cdbda614b1,/entries/spinoza/,Baruch Spinoza,"Thinker,Jewish Philosophy,Metaphysics,Social and Political Philosophy",Thinker,7.110855599
842,5f7678f1038c9c30f7846931,/entries/microbiology/,Philosophy of Microbiology,Philosophy of Biology,Philosophy of Biology,7.116994996
528,5f1bb9d4896f82cdbda61523,/entries/walter-chatton/,Walter Chatton,"Thinker,Philosophy of Religion, Metaphysics",Thinker,7.124482252
1411,5f1bb829896f82cdbda6141b,/entries/relativism/,Relativism,"Ethics,Social and Political Philosophy",Ethics,7.129029811
385,5f1bb86e896f82cdbda61444,/entries/sartre/,Jean-Paul Sartre,"Thinker,Continental Philosophy,Social and Political Philosophy,Aesthetics and Philosophy of Art",Thinker,7.131325203
1097,5f1bb354896f82cdbda61122,/entries/gassendi/,Pierre Gassendi,"Thinker,Philosphy of Science",Thinker,7.131413747
288,5f1baf9a896f82cdbda60f16,/entries/architecture/,Philosophy of Architecture,Aesthetics and Philosophy of Art,Aesthetics and Philosophy of Art,7.133195162
1413,5f7678c1038c9c30f78468eb,/entries/alternative-possibilities/,Moral Responsibility and the Principle of Alternative Possibilities,Ethics,Ethics,7.146380865
762,5f1bb597896f82cdbda612a1,/entries/mctaggart/,John M. E. McTaggart,"Thinker,Logic,Metaphysics",Thinker,7.150543661
216,5f1bb71d896f82cdbda61384,/entries/plato-metaphysics/,Plato’s Middle Period Metaphysics and Epistemology,"Thinker, Metaphysics, Epistemology",Metaphysics,7.150662549
1176,5f1bb3ec896f82cdbda61175,/entries/humor/,Philosophy of Humor,Aesthetics and Philosophy of Art,Aesthetics and Philosophy of Art,7.154484727
1211,5f1bb2db896f82cdbda610d7,/entries/feminism-language/,Feminist Philosophy of Language,"Feminist Philosophy,Philosophy of Language",Feminist Philosophy,7.163085455
1617,5f1bb660896f82cdbda61323,/entries/nothingness/,Nothingness,"Metaphysics,Philosophy of Physics",Metaphysics,7.167145147
606,5f1bb12f896f82cdbda60fef,/entries/content-narrow/,Narrow Mental Content,Philosophy of Mind,Philosophy of Mind,7.179658409
531,5f1bb8ae896f82cdbda6146b,/entries/self-deception/,Self-Deception,Philosophy of Mind,Philosophy of Mind,7.190308546
830,5f1bb281896f82cdbda610a2,/entries/ethics-chinese/,Chinese Ethics,"Chinese Philosophy,Ethics",Chinese Philosophy,7.191511611
1068,5f1bb2c9896f82cdbda610cc,/entries/feminism-aesthetics/,Feminist Aesthetics,"Feminist Philosophy,Aesthetics and Philosophy of Art",Feminist Philosophy,7.197900938
1451,5f1bb752896f82cdbda613a5,/entries/pragmatics/,Pragmatics,Philosophy of Language,Philosophy of Language,7.205158795
1378,5f1bb3e3896f82cdbda6116f,/entries/hume-aesthetics/,Hume’s Aesthetics,"Thinker,Aesthetics and Philosophy of Art",Aesthetics and Philosophy of Art,7.206192734
1219,5f1bb8de896f82cdbda6148a,/entries/skepticism-moral-responsibility/,Skepticism About Moral Responsibility,"Ethics,Epistemology",Ethics,7.21690322
1442,5f1bb61c896f82cdbda612fa,/entries/nagarjuna/,Nāgārjuna,"Thinker,Indian Philosophy,Metaphysics,Epistemology",Thinker,7.220841453
1466,5f1bb034896f82cdbda60f6b,/entries/brentano-judgement/,Brentano’s Theory of Judgement,"Thinker,Philosophy of Mind,Continental Philosophy",Philosophy of Mind,7.225555415
