,_id,page_url,title,domain_tags,primary_domain,score
204,5f1bb9e8896f82cdbda6152e,/entries/wilhelm-humboldt/,Wilhelm von Humboldt,"Thinker, Philosophy of Language",Thinker,4.000131846
362,5f1bba01896f82cdbda6153e,/entries/wolff-christian/,Christian Wolff,"Thinker,Philosophy of Science, Logic, Metaphysics",Thinker,4.000691132
296,5f1baf43896f82cdbda60ee0,/entries/al-baghdadi/,‘Abd al-Latif al-Baghdadi,"Thinker,Arabic and Islamic Philosophy",Thinker,4.003063483
1371,5f1bb891896f82cdbda6145a,/entries/scientific-method/,Scientific Method,Philosophy of Science,Philosophy of Science,4.004792416
53,5f1bb56a896f82cdbda6127b,/entries/ludwig-feuerbach/,Ludwig Andreas Feuerbach,"Thinker,Social and Political Philosophy",Thinker,4.005303071
1479,5f1bb716896f82cdbda61382,/entries/plato-ethics/,Plato’s Ethics: An Overview,"Thinker, Ethics",Ethics,4.005815581
1223,5f1baf9a896f82cdbda60f16,/entries/architecture/,Philosophy of Architecture,Aesthetics and Philosophy of Art,Aesthetics and Philosophy of Art,4.005923908
772,5f1bb4e6896f82cdbda61225,/entries/leibniz/,Gottfried Wilhelm Leibniz,"Thinker, Metaphysics, Philosophy of Mathematics, Logic",Thinker,4.006891685
756,5f1bb5cb896f82cdbda612c8,/entries/mind-indian-buddhism/,Mind in Indian Buddhist Philosophy,"Philosophy of Mind, Indian Philosophy",Philosophy of Mind,4.007231603
1003,5f1bb020896f82cdbda60f5f,/entries/bolzano-logic/,Bolzano’s Logic,"Thinker,Logic",Logic,4.00753134
806,5f1bb70a896f82cdbda6137a,/entries/physics-Rpcc/,Reichenbach’s Common Cause Principle,"Thinker,Philosophy of Science,Epistemology",Philosophy of Science,4.00923968
243,5f1baf12896f82cdbda60ec5,/entries/abrabanel/,Judah Abrabanel,"Thinker,Jewish Philosophy",Thinker,4.011290607
1582,5f1bb92d896f82cdbda614ba,/entries/stein/,Edith Stein,"Thinker,Continental Philosophy",Thinker,4.011535477
104,5f1bb498896f82cdbda611ec,/entries/kant-transcendental-idealism/,Kant’s Transcendental Idealism,"Thinker, Metaphysics",Metaphysics,4.012753696
748,5f1bb461896f82cdbda611c2,/entries/japanese-pure-land/,Japanese Pure Land Philosophy,Japanese Philosophy,Japanese Philosophy,4.012825319
904,5f1bb327896f82cdbda61107,/entries/francois-barre/,François Poulain de la Barre,"Thinker,Feminist Philosophy,Ethics",Thinker,4.013147278
220,5f1bb854896f82cdbda61434,/entries/roger-bacon/,Roger Bacon,"Thinker,Philosophy of Language, Philosophy of Religion",Thinker,4.015956418
1541,5f1bb49f896f82cdbda611f1,/entries/kepler/,Johannes Kepler,"Thinker,Philosophy of Physics",Thinker,4.016595051
1160,5f1bb9b6896f82cdbda61510,/entries/types-tokens/,Types and Tokens,"Metaphysics, Philosophy of Language",Metaphysics,4.01716009
1253,5f1bb55a896f82cdbda61270,/entries/logical-empiricism/,Logical Empiricism,"Logic,Epistemology,Philosophy of Language",Logic,4.017249441
1333,5f1bb2f0896f82cdbda610e5,/entries/feminist-philosophy-biology/,Feminist Philosophy of Biology,"Feminist Philosophy,Philosophy of Biology",Feminist Philosophy,4.018017149
630,5f1bb45e896f82cdbda611c0,/entries/japanese-confucian/,Japanese Confucian Philosophy,Japanese Philosophy,Japanese Philosophy,4.018185145
937,5f1bb4ca896f82cdbda61211,/entries/laws-of-nature/,Laws of Nature,Philosophy of Science,Philosophy of Science,4.018403343
116,5f1bb20d896f82cdbda61065,/entries/early-modern-india/,Analytic Philosophy in Early Modern India,"Indian Philosophy,Logic,Philosophy of Language",Indian Philosophy,4.018673307
528,5f1bb2df896f82cdbda610d9,/entries/feminism-law/,Feminist Philosophy of Law,"Feminist Philosophy,Philosophy of Law",Feminist Philosophy,4.019161829
566,5f1bb770896f82cdbda613b5,/entries/probability-medieval-renaissance/,Probability in Medieval and Renaissance Philosophy,Philosophy of Mathematics,Philosophy of Mathematics,4.019340605
1216,5f1bb221896f82cdbda61070,/entries/elisabeth-bohemia/,"Elisabeth, Princess of Bohemia","Thinker, Philosophy of Mind, Metaphysics",Thinker,4.019458733
1230,5f1bb901896f82cdbda6149e,/entries/sounds/,Sounds,"Philosophy of Mind, Philosophy of Biology, Philosopy of Physics",Philosophy of Mind,4.019565546
