,_id,page_url,title,domain_tags,primary_domain,score
477,5f1bb3ff896f82cdbda61182,/entries/idealism/,Idealism,Metaphysics,Metaphysics,6.028631966
177,5f1bb460896f82cdbda611c1,/entries/japanese-philosophy/,Japanese Philosophy,Japanese Philosophy,Japanese Philosophy,6.032325871
989,5f1bb2ec896f82cdbda610e2,/entries/feminism-trans/,Feminist Perspectives on Trans Issues,"Feminist Philosophy,Philosophy of Biology",Feminist Philosophy,6.037290497
1132,5f1bb5e8896f82cdbda612dc,/entries/montesquieu/,"Baron de Montesquieu, Charles-Louis de Secondat",Thinker,Thinker,6.042614835
397,5f1bb654896f82cdbda6131d,/entries/nishida-kitaro/,Nishida Kitarō,"Thinker,Japanese Philosophy,Philosophy of Mind, Logic,Metaphysics",Thinker,6.043024128
1242,5f1bb1d8896f82cdbda61048,/entries/dirty-hands/,The Problem of Dirty Hands,"Ethics,Social and Political Philosophy",Social and Political Philosophy,6.043468764
61,5f1bb584896f82cdbda61291,/entries/maritain/,Jacques Maritain,"Thinker,Social and Political Philosophy",Thinker,6.048456509
1317,5f1bb8e6896f82cdbda6148e,/entries/social-choice/,Social Choice Theory,"Social and Political Philosophy,Philosophy of Economics",Social and Political Philosophy,6.052397162
1203,5f1baf4e896f82cdbda60ee7,/entries/alain-locke/,Alain LeRoy Locke,"Aesthetics and Philosophy of Art,Social and Political Philosophy,African and African-American Philosophy,Thinker",Thinker,6.058656892
982,5f1bb816896f82cdbda61410,/entries/reduction-biology/,Reductionism in Biology,Philosophy of Biology,Philosophy of Biology,6.083814088
44,5f1bb021896f82cdbda60f60,/entries/bolzano/,Bernard Bolzano,"Thinker,Philosophy of Physics",Thinker,6.084990111
945,5f1bb6ef896f82cdbda6136c,/entries/philippa-foot/,Philippa Foot,"Thinker, Ethics",Thinker,6.092284566
228,5f1bb9c9896f82cdbda6151c,/entries/vico/,Giambattista Vico,"Thinker,Social and Political Philosophy",Thinker,6.092473148
218,5f1bb3e8896f82cdbda61173,/entries/hume-religion/,Hume on Religion,"Thinker,Philosophy of Religion",Philosophy of Religion,6.094935713
15,5f1bb4d2896f82cdbda61218,/entries/legal-reas-interpret/,Interpretation and Coherence in Legal Reasoning,Philosophy of Law,Philosophy of Law,6.10461466
685,5f1bb49b896f82cdbda611ee,/entries/kant/,Immanuel Kant,"Thinker, Ethics, Metaphyics,Social and Political Philosophy,Epistemology, Aesthetics and Philosophy of Art",Thinker,6.107122326
739,5f1bb81c896f82cdbda61414,/entries/reid-ethics/,Reid’s Ethics,"Thinker,Ethics",Ethics,6.117448903
1335,5f1bb931896f82cdbda614bd,/entries/stoicism/,Stoicism,"Ethics,Social and Political Philosophy",Ethics,6.118547807
150,5f1bb6f3896f82cdbda6136e,/entries/philo/,Philo of Alexandria,"Thinker,Jewish Philosophy",Thinker,6.12684727
984,5f1bb456896f82cdbda611b9,/entries/it-moral-values/,Information Technology and Moral Values,"Philosophy of Computer Science,Ethics",Philosophy of Computer Science,6.134693104
1593,5f1bb284896f82cdbda610a4,/entries/ethics-cultural-heritage/,The Ethics of Cultural Heritage,"Ethics,Social and Political Philosophy",Social and Political Philosophy,6.13588254
