,_id,page_url,title,domain_tags,primary_domain,score
971,5f1bb763896f82cdbda613af,/entries/prior/,Arthur Prior,"Thinker, Logic",Thinker,4.489610886
620,5f1bb8c9896f82cdbda6147d,/entries/sidgwick/,Henry Sidgwick,"Thinker, Ethics, Social and Political Philosophy",Thinker,4.493744273
1472,5f1bb8d1896f82cdbda61481,/entries/simplicity/,Simplicity,"Metaphysics,Epistemology",Metaphysics,4.494474188
1407,5f1bb984896f82cdbda614f2,/entries/transcendentalism/,Transcendentalism,Social and Political Philosophy,Social and Political Philosophy,4.496293079
1123,5f1bb9d4896f82cdbda61523,/entries/walter-chatton/,Walter Chatton,"Thinker,Philosophy of Religion, Metaphysics",Thinker,4.496701353
1442,5f1bb020896f82cdbda60f5f,/entries/bolzano-logic/,Bolzano’s Logic,"Thinker,Logic",Logic,4.499747352
745,5f1bb779896f82cdbda613ba,/entries/progress/,Progress,Social and Political Philosophy,Social and Political Philosophy,4.500143855
852,5f1bb96a896f82cdbda614e2,/entries/thomas-more/,Thomas More,"Thinker,Social and Political Philosophy",Thinker,4.500207646
895,5f1bb92d896f82cdbda614ba,/entries/stein/,Edith Stein,"Thinker,Continental Philosophy",Thinker,4.500996937
1385,5f1bb4d8896f82cdbda6121c,/entries/legrand/,Antoine Le Grand,"Thinker,Philosophy of Religion",Thinker,4.503521839
933,5f1bb49f896f82cdbda611f1,/entries/kepler/,Johannes Kepler,"Thinker,Philosophy of Physics",Thinker,4.505097266
530,5f1bafce896f82cdbda60f32,/entries/atomism-ancient/,Ancient Atomism,Metaphysics,Metaphysics,4.511614181
249,5f1bb199896f82cdbda61023,/entries/della-porta/,Giambattista della Porta,Thinker,Thinker,4.516647219
197,5f1bb231896f82cdbda61075,/entries/emotion-Christian-tradition/,Emotions in the Christian Tradition,"Philosophy of Mind,Philosophy of Religion",Philosophy of Mind,4.516827599
1095,5f1bb86f896f82cdbda61445,/entries/scheler/,Max Scheler,"Thinker, Continental Philosophy, Social and Political Philosophy",Thinker,4.518257035
95,5f1bb054896f82cdbda60f76,/entries/burke/,Edmund Burke,"Thinker,Social and Political Philosophy",Thinker,4.520174494
29,5f1bb3cf896f82cdbda61166,/entries/holbach/,Paul-Henri Thiry (Baron) d’Holbach,"Thinker,Social and Political Philosophy",Thinker,4.523178304
1478,5f1bb70c896f82cdbda6137c,/entries/pico-della-mirandola/,Giovanni Pico della Mirandola,Thinker,Thinker,4.529212015
157,5f1bb662896f82cdbda61324,/entries/novalis/,Georg Friedrich Philipp von Hardenberg [Novalis],"Thinker,Aesthetics and Philosophy of Art",Thinker,4.547347389
114,5f1bb198896f82cdbda61022,/entries/deleuze/,Gilles Deleuze,"Thinker,Continental Philosophy,Metaphysics,Social and Political Philosophy",Thinker,4.555305842
619,5f1bb66f896f82cdbda6132d,/entries/olympiodorus/,Olympiodorus,Thinker,Thinker,4.558668404
828,5f1bb4af896f82cdbda611ff,/entries/lady-masham/,Lady Damaris Masham,"Thinker,Philosophy of Religion",Thinker,4.56478363
1178,5f1bb2bd896f82cdbda610c3,/entries/fatalism/,Fatalism,Metaphysics,Metaphysics,4.58877507
920,5f1bba06896f82cdbda61542,/entries/wright/,Chauncey Wright,"Thinker, Philosophy of Science",Thinker,4.610311317
1386,5f1bb4dc896f82cdbda6121f,/entries/leibniz-evil/,Leibniz on the Problem of Evil,"Thinker,Ethics,Philosophy of Religion",Thinker,4.613313448
1462,5f1bb9b7896f82cdbda61511,/entries/umar-khayyam/,Umar Khayyam,"Thinker,Philosophy of Religion",Thinker,4.62717806
609,5f1bb7aa896f82cdbda613d3,/entries/pythagoras/,Pythagoras,"Thinker,Philosophy of Mathematics",Thinker,4.634769185
1072,5f1bb958896f82cdbda614d6,/entries/telesio/,Bernardino Telesio,Thinker,Thinker,4.640275689
685,5f1baf8f896f82cdbda60f0e,/entries/arabic-islamic-influence/,Influence of Arabic and Islamic Philosophy on the Latin West,Arabic and Islamic Philosophy,Arabic and Islamic Philosophy,4.646828096
323,5f1bb666896f82cdbda61327,/entries/oakeshott/,Michael Oakeshott,"Thinker, Social and Political Philosophy",Thinker,4.661923184
384,5f1bb2be896f82cdbda610c4,/entries/fechner/,Gustav Theodor Fechner,"Thinker,Metaphysics,Philosophy of Mind",Thinker,4.666176401
