,_id,page_url,title,domain_tags,primary_domain,score
762,5f1bb2a6896f82cdbda610b7,/entries/evolution/,Evolution,Philosophy of Biology,Philosophy of Biology,3.019672835
759,5f1bb4cc896f82cdbda61213,/entries/lefevre-etaples/,Jacques Lefèvre d’Étaples,Thinker,Thinker,3.019887566
712,5f1bb05c896f82cdbda60f7c,/entries/campanella/,Tommaso Campanella,"Thinker,Philosophy of Religion,Social and Political Philosophy",Thinker,3.022639088
1225,5f1baf9c896f82cdbda60f17,/entries/archytas/,Archytas,"Thinker,Philosophy of Mathematics",Thinker,3.023786032
569,5f1bb73b896f82cdbda61398,/entries/pomponazzi/,Pietro Pomponazzi,"Thinker,Philosophy of Religion",Thinker,3.031401073
1209,5f1bb85c896f82cdbda61439,/entries/royce/,Josiah Royce,"Thinker,Metaphysics",Thinker,3.043882014
1339,5f1bb3ad896f82cdbda61156,/entries/henricus-regius/,Henricus Regius,Thinker,Thinker,3.044398339
780,5f1bb058896f82cdbda60f79,/entries/byzantine-philosophy/,Byzantine Philosophy,Metaphysics,Metaphysics,3.050052818
86,5f1bb7d2896f82cdbda613eb,/entries/qualia-inverted/,Inverted Qualia,Philosophy of Mind,Philosophy of Mind,3.074430832
725,5f1bb181896f82cdbda61018,/entries/davidson/,Donald Davidson,"Thinker, Philosophy of Language, Epistomology",Thinker,3.106008313
38,5f1baf33896f82cdbda60ed7,/entries/aesthetics-of-everyday/,Aesthetics of the Everyday,Aesthetics and Philosophy of Art,Aesthetics and Philosophy of Art,3.129877485
280,5f1bba0c896f82cdbda61546,/entries/xenophanes/,Xenophanes,Thinker,Thinker,3.130130026
917,5f1bb1ea896f82cdbda61052,/entries/dispositions/,Dispositions,Metaphysics,Metaphysics,3.13067704
1444,5f1bb690896f82cdbda61339,/entries/original-position/,Original Position,Social and Political Philosophy,Social and Political Philosophy,3.131287189
631,5f1bb490896f82cdbda611e6,/entries/kant-moral/,Kant’s Moral Philosophy,"Thinker,Ethics",Ethics,3.137204242
831,5f1bb9fc896f82cdbda6153b,/entries/wittgenstein-mathematics/,Wittgenstein’s Philosophy of Mathematics,"Thinker,Philosophy of Mathematics",Philosophy of Mathematics,3.138840585
1308,5f1bb5c7896f82cdbda612c5,/entries/mill-moral-political/,Mill’s Moral and Political Philosophy,"Thinker,Social and Political Philosophy",Social and Political Philosophy,3.144882477
1060,5f1bb58a896f82cdbda61296,/entries/marx/,Karl Marx,"Thinker,Social and Political Philosophy,Philosopy of Economics",Thinker,3.149253654
1529,5f1bb05e896f82cdbda60f7d,/entries/camus/,Albert Camus,"Thinker,Continental Philosophy",Thinker,3.149259663
1405,5f1bb8b8896f82cdbda61471,/entries/seneca/,Seneca,"Thinker, Ethics, Social and Political Philosophy",Thinker,3.151325686
1095,5f1bafa8896f82cdbda60f1e,/entries/aristotle-ethics/,Aristotle’s Ethics,"Thinker,Ethics",Ethics,3.172357666
161,5f1bb3c0896f82cdbda61160,/entries/hilbert-program/,Hilbert’s Program,"Thinker,Philosophy of Mathematics",Thinker,3.178151709
1076,5f1bb770896f82cdbda613b5,/entries/probability-medieval-renaissance/,Probability in Medieval and Renaissance Philosophy,Philosophy of Mathematics,Philosophy of Mathematics,3.187507208
