,_id,page_url,title,domain_tags,primary_domain,score
96,5f1bb871896f82cdbda61446,/entries/schelling/,Friedrich Wilhelm Joseph von Schelling,"Thinker,Philosophy of Mind, Metaphysics",Thinker,2.018594114
1226,5f1bb107896f82cdbda60fda,/entries/conscience-medieval/,Medieval Theories of Conscience,Ethics,Ethics,2.019630937
1591,5f1bb96d896f82cdbda614e4,/entries/thought-experiment/,Thought Experiments,"Philosophy of Science,Epistemology",Philosophy of Science,2.019844144
144,5f1bb21a896f82cdbda6106c,/entries/egoism/,Egoism,Ethics,Ethics,2.021290662
753,5f1bb2c5896f82cdbda610c9,/entries/femapproach-continental/,Continental Feminism,"Feminist Philosophy,Continental Philosophy",Feminist Philosophy,2.021542165
725,5f1bb4af896f82cdbda611ff,/entries/lady-masham/,Lady Damaris Masham,"Thinker,Philosophy of Religion",Thinker,2.02181686
699,5f1bb4b0896f82cdbda61200,/entries/lakatos/,Imre Lakatos,"Thinker, Philosophy of Science, Philosophy of Mathematics",Thinker,2.022943593
81,5f1bb277896f82cdbda6109b,/entries/ernst-mach/,Ernst Mach,"Thinker, Philosophy of Science, Philosophy of Biology, Philosophy of Physics",Thinker,2.023736486
332,5f1baf6e896f82cdbda60efa,/entries/analysis/,Analysis,"Logic,Philosophy of Mathematics",Logic,2.029443575
575,5f1bafa0896f82cdbda60f19,/entries/aristotelianism-renaissance/,Aristotelianism in the Renaissance,Metaphysics,Metaphysics,2.030948987
350,5f1bb091896f82cdbda60f99,/entries/children/,Philosophy for Children,Social and Political Philosophy,Social and Political Philosophy,2.033723102
1038,5f1bb2db896f82cdbda610d7,/entries/feminism-language/,Feminist Philosophy of Language,"Feminist Philosophy,Philosophy of Language",Feminist Philosophy,2.043225164
1266,5f1bb37d896f82cdbda61139,/entries/goodman/,Nelson Goodman,"Thinker,Logic,Philosophy of Science,Aesthetics and Philosophy of Art",Thinker,2.043378528
487,5f1bb49c896f82cdbda611ef,/entries/karl-reinhold/,Karl Leonhard Reinhold,Thinker,Thinker,2.043975357
79,5f1bb058896f82cdbda60f79,/entries/byzantine-philosophy/,Byzantine Philosophy,Metaphysics,Metaphysics,2.04988407
473,5f1bb068896f82cdbda60f83,/entries/cassirer/,Ernst Cassirer,"Thinker,Philosophy of Mathematics,Philosophy of Science,Social and Political Philosophy",Thinker,2.051349612
511,5f1bb014896f82cdbda60f58,/entries/biology-philosophy/,Philosophy of Biology,Philosophy of Biology,Philosophy of Biology,2.05318448
171,5f1bb2f5896f82cdbda610e8,/entries/feminist-religion/,Feminist Philosophy of Religion,"Feminist Philosophy,Philosophy of Religion",Feminist Philosophy,2.06008144
555,5f1bb6fc896f82cdbda61373,/entries/philosophy-mathematics/,Philosophy of Mathematics,Philosophy of Mathematics,Philosophy of Mathematics,2.062151537
294,5f1bb036896f82cdbda60f6c,/entries/brentano/,Franz Brentano,"Thinker,Philosophy of Mind,Continental Philosophy",Thinker,2.063204075
621,5f1bb2f0896f82cdbda610e5,/entries/feminist-philosophy-biology/,Feminist Philosophy of Biology,"Feminist Philosophy,Philosophy of Biology",Feminist Philosophy,2.077274485
532,5f1bb0ea896f82cdbda60fca,/entries/computer-science/,The Philosophy of Computer Science,Philosophy of Computer Science,Philosophy of Computer Science,2.087299701
397,5f1bb89b896f82cdbda61460,/entries/scientific-reproducibility/,Reproducibility of Scientific Results,Philosophy of Science,Philosophy of Science,2.12730555
381,5f1baf0e896f82cdbda60ec2,/entries/abhidharma/,Abhidharma,"Indian Philosophy,Metaphysics,Epistemology",Indian Philosophy,2.127758771
303,5f1bb724896f82cdbda6138a,/entries/plato-timaeus/,Plato’s Timaeus,Thinker,Thinker,2.128070979
1080,5f1bb8e6896f82cdbda6148e,/entries/social-choice/,Social Choice Theory,"Social and Political Philosophy,Philosophy of Economics,Philosophy of Action",Social and Political Philosophy,2.128607962
945,5f1bb796896f82cdbda613c7,/entries/propositions/,Propositions,Logic,Logic,2.129133052
1084,5f1bb4d1896f82cdbda61217,/entries/legal-punishment/,Legal Punishment,Philosophy of Law,Philosophy of Law,2.132102603
1543,5f1bb2ed896f82cdbda610e3,/entries/feminist-bioethics/,Feminist Bioethics,"Feminist Philosophy,Ethics",Feminist Philosophy,2.132883575
1442,5f1baf79896f82cdbda60f00,/entries/ancient-soul/,Ancient Theories of Soul,Philosophy of Religion,Philosophy of Religion,2.190880719
620,5f1bb54c896f82cdbda61267,/entries/logic-probability/,Logic and Probability,"Logic,Philosophy of Mathematics",Logic,2.2023492
1489,5f1bb9fa896f82cdbda6153a,/entries/wittgenstein-atomism/,Wittgenstein’s Logical Atomism,"Thinker,Logic,Philosophy of Language",Logic,2.203786106
586,5f1bb328896f82cdbda61108,/entries/frantz-fanon/,Frantz Fanon,"Thinker,African and African-American Philosophy",Thinker,2.222246494
554,5f1bb48a896f82cdbda611e1,/entries/kant-judgment/,Kant’s Theory of Judgment,"Thinker, Philosophy of Mind, Logic, Epistemology",Philosophy of Mind,2.222456643
927,5f1bb6b8896f82cdbda6134e,/entries/paul-venice/,Paul of Venice,"Thinker, Logic",Thinker,2.222913587
184,5f1bb451896f82cdbda611b5,/entries/intuitionism-ethics/,Intuitionism in Ethics,Ethics,Ethics,2.224527809
358,5f1bb020896f82cdbda60f5f,/entries/bolzano-logic/,Bolzano’s Logic,"Thinker,Logic",Logic,2.23727453
286,5f1bafec896f82cdbda60f43,/entries/bauer/,Bruno Bauer,"Thinker, Social and Political Philosophy",Thinker,2.239197042
593,5f1bb1d2896f82cdbda61044,/entries/dietrich-freiberg/,Dietrich of Freiberg,Thinker,Thinker,2.239765557
1511,5f1bb481896f82cdbda611da,/entries/justice/,Justice,Social and Political Philosophy,Social and Political Philosophy,2.244473096
100,5f1bb483896f82cdbda611db,/entries/justification-public/,Public Justification,Social and Political Philosophy,Social and Political Philosophy,2.244683124
898,5f1bb690896f82cdbda61339,/entries/original-position/,Original Position,Social and Political Philosophy,Social and Political Philosophy,2.24980989
1507,5f1bb22f896f82cdbda61074,/entries/emily-elizabeth-constance-jones/,Emily Elizabeth Constance Jones,"Thinker, Logic, Ethics",Thinker,2.250177282
338,5f1bb43c896f82cdbda611a7,/entries/innateness-cognition/,Innateness and Contemporary Theories of Cognition,Philosophy of Mind,Philosophy of Mind,2.250212061
463,5f1bb7db896f82cdbda613f0,/entries/quantum-field-theory/,Quantum Field Theory,Philosophy of Physics,Philosophy of Physics,2.251101097
344,5f1bc354c9d4344a5ae10179,/entries/science-big-data/,Scientific Research and Big Data,"Philosophy of Science,Philosophy of Computer Science",Philosophy of Science,2.252333024
217,5f1baf95896f82cdbda60f12,/entries/arabic-islamic-mind/,Arabic and Islamic Psychology and Philosophy of Mind,"Arabic and Islamic Philosophy,Philosophy of Mind",Arabic and Islamic Philosophy,2.253144678
609,5f1bb08c896f82cdbda60f96,/entries/chaos/,Chaos,Philosophy of Physics,Philosophy of Physics,2.253375612
1578,5f1bb99e896f82cdbda61501,/entries/truth/,Truth,Epistemology,Epistemology,2.253422217
318,5f1bb437896f82cdbda611a3,/entries/informed-consent/,Informed Consent,Ethics,Ethics,2.253851871
110,5f1bb621896f82cdbda612fc,/entries/nationalism/,Nationalism,Social and Political Philosophy,Social and Political Philosophy,2.253990008
1209,5f1bb70b896f82cdbda6137b,/entries/physics-structuralism/,Structuralism in Physics,Philosophy of Physics,Philosophy of Physics,2.254145599
226,5f1bb612896f82cdbda612f4,/entries/morality-definition/,The Definition of Morality,Ethics,Ethics,2.254615735
1139,5f1bb4d5896f82cdbda6121a,/entries/legal-rights/,Legal Rights,Philosophy of Law,Philosophy of Law,2.254698911
26,5f1bb476896f82cdbda611d2,/entries/justice-global/,Global Justice,Social and Political Philosophy,Social and Political Philosophy,2.25562958
616,5f1bb248896f82cdbda61083,/entries/episteme-techne/,Episteme and Techne,Epistemology,Epistemology,2.256085356
875,5f1bb0aa896f82cdbda60fa9,/entries/civic-education/,Civic Education,Social and Political Philosophy,Social and Political Philosophy,2.256237147
1452,5f1bb660896f82cdbda61323,/entries/nothingness/,Nothingness,Metaphysics,Metaphysics,2.257323473
690,5f1bb69b896f82cdbda6133f,/entries/panpsychism/,Panpsychism,Philosophy of Mind,Philosophy of Mind,2.257479597
985,5f1bb84c896f82cdbda6142f,/entries/rights-human/,Human Rights,"Ethics,Social and Political Philosophy",Ethics,2.257641656
1479,5f1bb977896f82cdbda614ea,/entries/time-travel/,Time Travel,Philosophy of Physics,Philosophy of Physics,2.257746191
1214,5f1bb342896f82cdbda61118,/entries/future-contingents/,Future Contingents,"Logic,Metaphysics",Logic,2.257885088
957,5f1bb6c0896f82cdbda61352,/entries/peirce/,Charles Sanders Peirce,"Thinker,Logic, Philosophy of Language",Thinker,2.258735802
955,5f1bb58f896f82cdbda6129a,/entries/mathematical-style/,Mathematical Style,Philosophy of Mathematics,Philosophy of Mathematics,2.260005777
1580,5f1bb91e896f82cdbda614b0,/entries/spinoza-psychological/,Spinoza’s Psychological Theory,"Thinker,Philosophy of Mind",Philosophy of Mind,2.260078885
902,5f1bb949896f82cdbda614cc,/entries/sylvan-routley/,Richard Sylvan [Routley],"Thinker, Logic, Ethics, Metaphysics",Thinker,2.260131222
238,5f1bb203896f82cdbda6105f,/entries/duhem/,Pierre Duhem,"Thinker,Philosophy of Science",Thinker,2.260400191
605,5f1bb273896f82cdbda61098,/entries/erasmus/,Desiderius Erasmus,Thinker,Thinker,2.260404927
721,5f1bb7a9896f82cdbda613d2,/entries/pyrrho/,Pyrrho,"Thinker,Epistemology",Thinker,2.260531526
1097,5f1baf12896f82cdbda60ec5,/entries/abrabanel/,Judah Abrabanel,"Thinker,Judaic Philosophy",Thinker,2.260725286
819,5f1bb5cc896f82cdbda612c9,/entries/miracles/,Miracles,Philosophy of Religion,Philosophy of Religion,2.261014392
580,5f1bb349896f82cdbda6111c,/entries/galileo/,Galileo Galilei,"Thinker,Philosophy of Physics",Thinker,2.261070224
