d,_id,title,Kind,Main,   ,,,Time Period,Region,Tags
0,5e9543548d5640f2c15ad843,17th and 18th Century Theories of Emotions,Survey,Mind,,,,,,Mind
1,5e953bed8d5640f2c15ad69e,18th Century British Aesthetics,Survey,Aesthetics,,,,,,Aesthetics
2,5e953bf18d5640f2c15ad69f,18th Century French Aesthetics,Survey,Aesthetics,,,,,,Aesthetics
3,5e953bf68d5640f2c15ad6a0,18th Century German Aesthetics,Survey,Aesthetics,,,,,,Aesthetics
4,5e953b948d5640f2c15ad68b,18th Century German Philosophy Prior to Kant,Survey,Metaphysics,,,,,,Metaphysics
5,5e953bfa8d5640f2c15ad6a1,19th Century Romantic Aesthetics,Survey,Aesthetics,,,,,,Aesthetics
6,5e953ce58d5640f2c15ad6d5,A Priori Justification and Knowledge,Concept,Epistemology,,,,,,Epistemology
7,5e954e3b8d5640f2c15adab2,A Priorism in Moral Epistemology,Concept,Epistemology,Ethics and Morality,,,,,"Epistemology,Ethics and Morality"
8,5e953b998d5640f2c15ad68c,Abduction,Concept,Logic,Epistemology,Scientific Methods,,,,"Logic,Epistemology,Scientific Methods"
9,5e953ba28d5640f2c15ad68e,Abhidharma,Concept,Religion,,,,,,Religion
10,5e953ba78d5640f2c15ad68f,Abilities,Concept,Mind,,,,,,Mind
11,5e953bab8d5640f2c15ad690,Abner of Burgos,Thinker,Thinker,Religion,,,,,"Thinker,Religion"
12,5e953bb58d5640f2c15ad692,Abraham Ibn Daud,Thinker,Thinker,Religion,,,,,"Thinker,Religion"
13,5e9547d78d5640f2c15ad946,Abraham Ibn Ezra,Thinker,Thinker,Religion,,,,,"Thinker,Religion"
14,5e95db6e16876e26996d53f0,Absolute and Relational Theories of Space and Motion,Concept,Physics,,,,,,Physics
15,5e953bba8d5640f2c15ad693,Abstract Objects,Concept,Metaphysics,,,,,,Metaphysics
16,5e953bc48d5640f2c15ad695,Action,Concept,Mind,,,,,,Mind
17,5e9552778d5640f2c15adba2,Action at a Distance in Quantum Mechanics,Concept,Quantum Mechanics,,,,,,Quantum Mechanics
18,5e953bbf8d5640f2c15ad694,Action-based Theories of Perception,Concept,Mind,,,,,,Mind
19,5e953bcd8d5640f2c15ad697,Actualism,Concept,Metaphysics,,,,,,Metaphysics
20,5e953bc88d5640f2c15ad696,Actualism and Possibilism in Ethics,Concept,Metaphysics,Ethics and Morality,,,,,"Metaphysics,Ethics and Morality"
21,5e95db0316876e26996d53d7,Adam Smith’s Moral and Political Philosophy,Thinker,Thinker,Ethics and Morality,Political and Social Theory,,,,"Thinker,Ethics and Morality,Political and Social Theory"
22,5e95de1616876e26996d5487,Adam de Wodeham,Thinker,Thinker,Religion,,,,,"Thinker,Religion"
23,5e953bd18d5640f2c15ad698,Adaptationism,Concept,Evolution,,,,,,Evolution
24,5e95539c8d5640f2c15adbe3,Adolf Reinach,Thinker,Thinker,Existentialism and Phenomenology,,,,,"Thinker,Existentialism and Phenomenology"
25,5e953bde8d5640f2c15ad69b,Advance Directives and Substitute Decision-Making,Concept,Ethics and Morality,,,,,,Ethics and Morality
26,5e953be98d5640f2c15ad69d,Aesthetic Judgment,Concept,Aesthetics,,,,,,Aesthetics
27,5e953c038d5640f2c15ad6a3,Aesthetics of the Everyday,Concept,Aesthetics,,,,,,Aesthetics
28,5e953c078d5640f2c15ad6a4,Affirmative Action,Concept,Political and Social Theory,,,,,,Political and Social Theory
29,5e953c0c8d5640f2c15ad6a5,African Ethics,Survey,African and African-American Philosophy,Ethics and Morality,,,,African and African-American Philosophy,"African and African-American Philosophy,Ethics and Morality"
30,5e953c108d5640f2c15ad6a6,African Sage Philosophy,Survey,African and African-American Philosophy,Political and Social Theory,,,,African and African-American Philosophy,"African and African-American Philosophy,Political and Social Theory"
31,5e953c148d5640f2c15ad6a7,Africana Philosophy,Survey,African and African-American Philosophy,Metaphysics,,,,African and African-American Philosophy,"African and African-American Philosophy,Metaphysics"
32,5e953c198d5640f2c15ad6a8,Afterlife,Concept,Religion,Metaphysics,,,,,"Religion,Metaphysics"
33,5e953c1e8d5640f2c15ad6a9,Agency,Concept,Mind,,,,,,Mind
34,5e953c268d5640f2c15ad6ab,Akan Philosophy of the Person,Concept,African and African-American Philosophy,Metaphysics,,,,African and African-American Philosophy,"African and African-American Philosophy,Metaphysics"
35,5e953c498d5640f2c15ad6b3,Alain LeRoy Locke,Thinker,Thinker,Aesthetics,Political and Social Theory,,,,"Thinker,Aesthetics,Political and Social Theory"
36,5e95dd0d16876e26996d5451,Alan Turing,Thinker,Thinker,Computer Science,Mathematics,,,,"Thinker,Computer Science,Mathematics"
37,5e953ef38d5640f2c15ad749,Albert Camus,Thinker,Thinker,Existentialism and Phenomenology,,,,,"Thinker,Existentialism and Phenomenology"
38,5e953c528d5640f2c15ad6b5,Albert of Saxony,Thinker,Thinker,Logic,,,,,"Thinker,Logic"
39,5e953c4e8d5640f2c15ad6b4,Albert the Great,Thinker,Thinker,,,,,,Thinker
40,5e953c5b8d5640f2c15ad6b7,Alcmaeon,Thinker,Thinker,,,,,,Thinker
41,5e953c638d5640f2c15ad6b9,Alexander Crummell,Thinker,Thinker,Political and Social Theory,,,,,"Thinker,Political and Social Theory"
42,5e953c5f8d5640f2c15ad6b8,Alexander of Aphrodisias,Thinker,Thinker,,,,,,Thinker
43,5e954d4a8d5640f2c15ada7d,Alexius Meinong,Thinker,Thinker,Logic,,,,,"Thinker,Logic"
44,5e953dda8d5640f2c15ad70b,Alfred Jules Ayer,Thinker,Thinker,Epistemology,Logic,,,,"Thinker,Epistemology,Logic"
45,5e95ddd216876e26996d5477,Alfred North Whitehead,Thinker,Thinker,Logic,,,,,"Thinker,Logic"
46,5e95cf198d5640f2c15adc20,Alfred Schutz,Thinker,Thinker,Existentialism and Phenomenology,,,,,"Thinker,Existentialism and Phenomenology"
47,5e95dc2516876e26996d541b,Alfred Tarski,Thinker,Thinker,Logic,Mathematics,,,,"Thinker,Logic,Mathematics"
48,5e953c728d5640f2c15ad6bc,Algebra,Concept,Mathematics,,,,,,Mathematics
49,5e954b498d5640f2c15ada0d,Algebraic Propositional Logic,Concept,Mathematics,,,,,,Mathematics
50,5e953c768d5640f2c15ad6bd,Alienation,Concept,Political and Social Theory,,,,,,Political and Social Theory
51,5e95daa016876e26996d53bf,Alternative Axiomatic Set Theories,Concept,Mathematics,,,,,,Mathematics
52,5e953c888d5640f2c15ad6c1,Altruism,Concept,Ethics and Morality,,,,,,Ethics and Morality
53,5e953c918d5640f2c15ad6c3,Ambiguity,Concept,Language,,,,,,Language
54,5e953c978d5640f2c15ad6c4,Ammonius,Thinker,Thinker,,,,,,Thinker
55,5e95534b8d5640f2c15adbd1,Analogy and Analogical Reasoning,Concept,Logic,Language,,,,,"Logic,Language"
56,5e953ca38d5640f2c15ad6c6,Analysis,Concept,Logic,Mathematics,,,,,"Logic,Mathematics"
57,5e9544c08d5640f2c15ad894,Analytic Feminism,Concept,Feminism,,,,,,Feminism
58,5e9543058d5640f2c15ad831,Analytic Philosophy in Early Modern India,Survey,Indian Philosophy,Logic,Language,,,Indian Philosophy,"Indian Philosophy,Logic,Language"
59,5e954a448d5640f2c15ad9d2,Analytic Philosophy in Latin America,Survey,Latin American Philosophy,Logic,Language,,,Latin American Philosophy,"Latin American Philosophy,Logic,Language"
60,5e953cad8d5640f2c15ad6c8,Anaphora,Concept,Language,,,,,,Language
61,5e953cb28d5640f2c15ad6c9,Anarchism,Concept,Political and Social Theory,,,,,,Political and Social Theory
62,5e953cb68d5640f2c15ad6ca,Anaxagoras,Thinker,Thinker,,,,,,Thinker
63,5e953d9b8d5640f2c15ad6fe,Ancient Atomism,Survey,Metaphysics,,,,,,Metaphysics
64,5e9544088d5640f2c15ad86b,Ancient Ethical Theory,Survey,Ethics and Morality,,,,,,Ethics and Morality
65,5e954b4e8d5640f2c15ada0e,Ancient Logic,Survey,Logic,,,,,,Logic
66,5e953cbb8d5640f2c15ad6cb,Ancient Political Philosophy,Survey,Political and Social Theory,,,,,,Political and Social Theory
67,5e95dae616876e26996d53d0,Ancient Skepticism,Survey,Religion,,,,,,Religion
68,5e953cbf8d5640f2c15ad6cc,Ancient Theories of Soul,Survey,Religion,,,,,,Religion
69,5e9543628d5640f2c15ad846,Ancient and Medieval Empiricism,Survey,Metaphysics,,,,,,Metaphysics
70,5e953e5e8d5640f2c15ad729,Anicius Manlius Severinus Boethius,Thinker,Thinker,Logic,,,,,"Thinker,Logic"
71,5e953fe58d5640f2c15ad77f,Animal Cognition,Concept,Mind,Biology,,,,,"Mind,Biology"
72,5e9540a28d5640f2c15ad7a9,Animal Consciousness,Concept,Mind,Biology,,,,,"Mind,Biology"
73,5e953cc78d5640f2c15ad6ce,Animalism,Concept,Mind,,,,,,Mind
74,5e953ccb8d5640f2c15ad6cf,Anna Julia Cooper,Thinker,Thinker,Political and Social Theory,,,,,"Thinker,Political and Social Theory"
75,5e953ccf8d5640f2c15ad6d0,Anomalous Monism,Concept,Metaphysics,,,,,,Metaphysics
76,5e9540098d5640f2c15ad787,Anthony Collins,Thinker,Thinker,Religion,Political and Social Theory,,,,"Thinker,Religion,Political and Social Theory"
77,5e953cdc8d5640f2c15ad6d3,Antiochus of Ascalon,Thinker,Thinker,,,,,,Thinker
